 	Reasoning
Santosh Hegde, J. Being aggrieved by an order made by the Division Bench of the High Court of Karnataka in Writ Petition Nos. 1706870 of 1988, the appellant is before us in these appeals.	Issue
In respect of assessment years 197778, 197879 and 198081, assessment orders were served on the assesseeappellant and demand notices were issued.	Facts
The appellant complied with the demands by paying the tax due.	Facts
The appellate authority on an appeal preferred by the appellant, allowed the same and the taxes paid were refunded to the appellant.	Facts
The appellate tribunal dismissed the appeal filed by the REvenue and on a Reference made to the High Court, the same came to be allowed thereby upholding all the assessment orders.	Facts
Thereafter, the Revenue made fresh demands and the assessee repaid the taxes as assessed and demanded.	Facts
However, the Revenue invoked Section 220(2) of the Income Tax Act, 1961 (the Act) and demanded interest in respect of the tax assessed for the period commencing with refund of the tax consequent upon the first appellate order till the taxes were finally paid after disposal of References.	Facts
The appellant challenged the said demand of interest in the abovementioned writ petitions before the High Court, inter alia, contending that it was not at all in default because it had paid the taxes in compliance with the demands, hence, the original demands did not survive so this was not a case where it had failed to comply with the demand made under Section 156 of the Act.	Facts
The Revenue contended that the order of assessment, the appellate orders and the order made on reference resulting in consequential order are only different steps in the same proceeding and the ultimate order relates back to the original order itself and that also in view of Section 3 of the Taxation Laws (Continuation and Validation of Recovery Proceedings) Act, 1964 (for short the Validation Act) the original demand notices got revived by operation of law and due effect had to be given to such revival.	Facts
The High Court, however, held the subsection (2) of Section 3 of the Validation Act kept alive the earlier demand notice even though payment in full was made pursuant to that demand and treated the same as due notice having been kept alive all along till the assessment order was upheld by the higher forum.	Facts
On the above foundation, the writ petitions came to be dismissed.	Facts
4.	None
In these appeals, it is contended on behalf of the appellant that Section 220(2) does not apply to the facts of the case in view of the admitted fact that when the original notice of demand was issued, the same was complied with without delay and, subsequently, when the appellant lost its case before the High Court, a fresh demand notice was issued which was also satisfied by the appellant.	Arguments of Petitioner
According to the appellant, once the payment as demanded, has been made, the notice ceases to have any statutory force and does not survive thereafter.	Arguments of Petitioner
It is also argued that Section 3(2) of the Validation Act only stipulates that no fresh demand notice is required to be issued as a result of there being a variation in the orders of the different appellate forums with a view to see that the recovery of revenue due to the State is not hampered.	Arguments of Petitioner
On behalf of the Revenue, it is contended that under Section 220(2) of the Act, the Revenue is entitled to collect interest on that part of tax which is due to it and retained by the assessee, and the High Court was justified in coming to the conclusion that since on the facts and the circumstances of this case, the Revenue was a creditor and the taxpayer a debtor, the debtor should compensate the creditor by paying interest on the amount due.	Arguments of Respondent
Based on the above pleadings, the point emerging for our consideration is does the Act under Section 220(2) contemplate payment of interest on any sum of money due under a demand notice even after the said demand is satisfied ?	Issue
