 	Issue
This appeal has been preferred by Ahmedabad Private Primary Teachers Association.	Issue
The Association complains that in the petition filed by an individual teacher (respondent No.2 herein) employed in a school run by Ahmedabad Municipal Corporation, the Full Bench of the High Court of Gujarat by impugned judgment dated 4.5.2001 in Special Civil Application No.5272 of 1987 not only rejected the claim of the teacher for payment of gratuity under the provisions of Payment of Gratuity Act, 1972 (for short the Act) but has decided an important question of law against the teachers as a class that they do not fall within the definition of employee as contained in S.2(e) of the Act and hence can raise no claim to gratuity under the Act.	Issue
The definition of employee contained in S.2(e) of the Act of 1972 reads as under 2(e).	None
employee means any person (other than an apprentice) employed on wages, in any establishment, factory, mine, oilfield, plantation, port, railway company or shop, to do any skilled, semiskilled, or unskilled, manual, supervisory technical or clerical work, whether the terms of such employment are express or implied, and whether or not such person is employed in a managerial or administrative capacity, but does not include any such person who holds a post under the Central Government or a State Government and is governed by any other Act or by any rules providing for payment of gratuity.	None
(Underlining giving emphasis)	None
One of the learned Judges of the High Court in his separate concurring opinion held that as gratuity payable to teachers employed in schools of Ahmedabad Municipal Corporation are governed by statutory regulations known as Gratuity Regulations of the Municipal Corporation of the city of Ahmedabad framed by the Corporation under S.465(i) (h) of the Bombay Municipal Corporation Act, 1949, such teachers even if held to be covered by main part of definition of employee are expressly excluded by the last exclusionary clause of the definition shown by underlining it as above.	Facts
As all the learned judges have unanimously held that teachers are not covered by the definition of employee under S.2(e) of the Act, it has become necessary for this court to consider the correctness of the view with regard to the applicability of the Act to the teachers as a class.	Issue
We have heard the learned counsel appearing for all contesting parties.	None
As the legal question involved is general in nature affecting teachers as a class, on our request, Senior Advocate Dr. Rajeev Dhawan appeared as Amicus Curiae.	None
We are immensely benefited by his able assistance which we thankfully acknowledge.	None
The Act is a piece of social welfare legislation and deals with the payment of gratuity which is a kind of retiral benefit like pension, provident fund etc.	Reasoning
As has been explained in the concurring opinion of one of the learned judges of the High Court gratuity in its etymological sense is a gift, especially for services rendered, or return for favours received.	None
It has now been universally recognized that all persons in society need protection against loss of income due to unemployment arising out of incapacity to work due to invalidity, old age etc.	None
For the wage earning population, security of income, when the worker becomes old or infirm, is of consequential importance.	Reasoning
The provisions contained in the Act are in the nature of social security measures like employment insurance, provident fund and pension.	Reasoning
The Act accepts, in principle, compulsory payment of gratuity as a social security measure to wage earning population in industries, factories and establishments.7.	Reasoning
Thus, the main purpose and concept of gratuity is to help the workman after retirement, whether, retirement is a result of rules of superannuation, or physical disablement or impairment of vital part of the body.	Reasoning
The expression, gratuity itself suggests that it is a gratuitous payment given to an employee on discharge, superannuation or death.	Reasoning
Gratuity is an amount paid unconnected with any consideration and not resting upon it, and has to be considered as something given freely, voluntarily or without recompense.	Reasoning
It is sort of financial assistance to tide ever post retiral hardships and inconveniences.	Reasoning
The following important words and expressions in the definition Clause.2(e), are before us for consideration and interpretation in the light of the arguments advanced which project different points of view  2(e).	None
employee means any person (other than an apprentice) employed on wages, in any establishment, factory, mine, oilfield, plantation, port, railway company or shop, to do any skilled, semiskilled, or unskilled, manual, supervisory technical or clerical work, whether or not such person is employed in a managerial or administration capacity.	None
(Underlining giving emphasis)	None
The learned counsel appearing for the Teachers Association and also the learned Amicus Curiae vary strenuously urged that a beneficial, purposeful and wide interpretation should be placed on the definition of employee in S.2(e) of the Act particularly in the light of the fact that earlier in the definition clause, there was an income limit of wages being not more than Rs.2300/ per month, for extending coverage of gratuity benefit to the employees.	Arguments of Petitioner
That wages or salary limit has, however, been done away with by introducing amendment to the definition Clause.2(e) of the Act.	Arguments of Petitioner
Now gratuity is payable to all employees irrespective of the quantum of salary or wages paid to them.	Arguments of Petitioner
It is, further, pointed out that in the unamended definition clause, employees working in managerial or administrative capacity were excluded from the definition of an employee but after the amendment introduced with effect from 1.7.1984, even employees in managerial or administrative capacity and without any bar or limit on their salaries or wages are brought within the definition of employee to extend the benefit of gratuity to them.	Arguments of Petitioner
Learned counsel appearing for the appellant and the learned Amicus Curiae, therefore, contended that a very wide meaning has to be given to the word employee in the definition contained in S.2(e) of the Act.	Arguments of Petitioner
On the other hand, learned senior counsel Shri R.P. Nariman contends that the Act is one of the labour welfare legislations.	Arguments of Respondent
The words and expressions used in the provisions of the Act should be considered in the light of the provisions contained in other labour legislations where similar expressions and definitions have been used.	Arguments of Respondent
He has referred to the definition of employee in S.2(1) of the Minimum Wages Act, S.2(13) of the Payment of Bonus Act and compared those provisions with definition of employees in S.2(f) of the Provident Funds Act.	Arguments of Respondent
Reference is also made to definition of workman under S.2(s) of the Industrial Disputes Act.	None
Thus, on comparative reading of the various definitions in different enactments in the field of labour legislation, the learned counsel appearing for the respondents argues that a teacher cannot be said to be employed either for skilled, semiskilled, unskilled, manual, supervisory, technical or clerical work.	Arguments of Respondent
He She is also not employed in any managerial or administrative capacity.	Arguments of Respondent
The teacher is engaged in imparting education for intellectual or moral development of students.	Arguments of Respondent
He She does not answer any of the above mentioned descriptions in the definition clause with regard to the nature of work.	Arguments of Respondent
The learned Amicus Curiae, in his counter reply, submitted that the words  skilled, semiskilled or unskilled, do not qualify the words manual, supervisory, technical or clerical.	None
It is contended that all the words skilled, semiskilled, unskilled, manual, supervisory, technical, or clerical, because of the commas in between them have to be read disjunctively and they all qualify the word work which is mentioned at the end of all these words.	None
We have critically examined the definition clause in the light of the arguments advanced on either side and have compared it with the definitions given in other labour enactment.	None
On the doctrine of pari materia, reference to other statutes dealing with the same subject or forming part of the same system is a permissible aid to the construction of provisions in a statute.	None
See the following observations contained in Principles of Statutory Interpretation by G.P. Singh (8th Ed.)  	None
Synopsis 4 at pg.	None
235 to 239 Statutes in Pari Materia  It has already been seen that a statute must be read as a whole as words are to be understood in their context.	None
Extension of this rule of context permits reference to other statutes in pari materia, i.e. statutes dealing with the same subject matter or forming part of the same system.	None
Viscount Simonds in a passage already noticed conceived it to be a right and duty to construe every word of a statute in its context and he used the word context in its widest sense including other statutes in pari materia.	None
As stated by Lord Mansfield where there are different statutes in pari materia though made at different times, or even expired, and not referring to each other, they shall be taken and construed together, as one system and as explanatory of each other.	None
The application of this rule of construction has the merit of avoiding any apparent contradiction between a series of statutes dealing with the same subject, it allows the use of an earlier statute to throw light on the meaning of a phrase used in a later statute in the same context, it permits the raising of a presumption, in the absence of any context indicating a contrary intention, that the same meaning attaches to the same words in a later statute as in an earlier statute if the words are used in similar connection in the two statutes, and it enables the use of a later statute as parliamentary exposition of the meaning of ambiguous expressions in an earlier statute.	None
The definition of workman contained in S.2(s) of the Industrial Disputes Act, 1947 meaning any person employed in any industry to do any skilled or unskilled manual, supervisory, technical, operational, or clerical work came up for consideration before this Court when teachers claimed that they are covered by the definition of the Industrial Disputes Act.	None
In the case of A. Sundarambal v. Govt.	None
of Goa, Daman and Diu, 1988 (4) SCC 42 , this Court negatived the claim of teachers that they are covered by the definition of workman under Industrial Disputes Act thus  Even though an educational institution has to be treated as an industry, teachers in an educational institution cannot be considered as workman.	None
The teachers employed by educational institutions whether the said institutions are imparting primary, secondary, graduate or postgraduate education cannot be called as workman within the meaning of S.2(s) of the Act.	None
Imparting of education which is the main function of teachers cannot be considered as skilled or unskilled manual work or supervisory work or technical work or clerical work.	None
Imparting of education is in the nature of a mission or a noble vocation.	None
The clerical work, if any, they may do, is only incidental to their principal work of teaching.	None
The definition of employee as contained in S.2(i) of the Minimum Wages Act, 1948 came up for consideration before this Court in the case of Haryana Unrecognised Schools Association v. State of Haryana, 1996 (4) SCC 225.	None
In S.2(i) of the Minimum Wages Act, the word employee is defined to mean any person who is employed for hire or reward to do any work, skilled or unskilled, manual or clerical, in a scheduled employment in respect of which minimum rates of wages have been fixed.	None
This Court held that as teachers are not employed for any skilled or unskilled, manual or clerical work, it is not open to the State Government to include their employment as a scheduled employment under the Minimum Wages Act.	None
The relevant observations need to be quoted  A combined reading of Ss.3, 2(i) and 27 of the Minimum Wages Act, 1948 and the Statement of Objects and Reasons of the legislation makes it explicitly clear that the State Government can add to either part of the Schedule any employment where persons are employed for hire or reward to do any work skilled or unskilled, manual or clerical.	None
If the persons employed do not do the work of any skilled or unskilled or of a manual or clerical nature then it would not be possible for the State Government to include such an employment in the Schedule in exercise of power under S.27 of the Act.	None
Since the teachers of an educational institution are not employed to do any skilled or unskilled or manual or clerical work and therefore, could not be held to be an employee under S.2(i) of the Act, it is beyond the competence of the state Government to bring them under the purview of the Act by adding the employment in educational institution in the Schedule in exercise of power under S.27 of the Act.	None
Hence, the State Government in exercise of powers under the Act is not entitled to fix the minimum wage of such teachers.	None
The impugned notifications so far as the teachers of the educational institution are concerned are accordingly quashed.	None
(Emphasis added by underlining)	None
The definitions of employee in other labour legislations which need to be considered for comparison are first S.2(13) of the Payment of Bonus Act, 1965 where the definition reads as under 2(13).	None
Employee means any person (other than an apprentice) employed on a salary or wage not exceeding (three thousand and five hundred rupees) per mensem in any industry to do any skilled or unskilled, manual, supervisory, managerial, administrative, technical or clerical work for hire or reward, whether the terms of employment be express or implied.	None
(Emphasis added) S.2(f) of the Employees Provident Funds Act, 1952 defines employee as under  2(f).	None
employee means any person who is employed for wages in any kind of work, manual or otherwise, in or in connection with the work of an establishment and who gets his wages directly or indirectly from the employer.	None
(Emphasis added) Learned counsel appearing for the Corporation does not dispute that definition of employee under the Employees Provident Funds Act, 1952 is very wide and may include even a teacher in an educational establishment because the expression in the definition clause used is any person who is employed for wages in any kind of work, manual or otherwise, in or in connection with the work of (an establishment) and who gets his wages directly or indirectly from the employer.	None
It is submitted that since such language of wide import in defining employee is not used in the Payment of Gratuity Act of 1972, the definition is restrictive and not expansive.	None
It has to be understood as excluding teachers who are not doing any kind of skilled or unskilled, manual, supervisory, managerial, administrative, technical or clerical work.	None
It is not disputed that by notification dated 3rd April, 1997, issued in exercise of powers under S.1(3)(c) of the Payment of Gratuity Act, 1972, the Gratuity Act is extended to educational institutions in which ten or more persons are employed or were employed on any day preceding 12 months.	None
The relevant part of the notification reads as under  APPLICABILITY OF THE PAYMENT OF GRATUITY ACT, 1972 IN EDUCATIONAL I NSTITUTIONS NOTIFICATION	None
No. 542013/1/95SS II.	None
DATED 3RD APRIL, 1997.	None
In exercise of the powers conferred by Clause (c) of Subclause (3) of S.1 of the Payment of Gratuity Act, 1972 (39 of 1972), the Central Government hereby specifies the educational institutions in which ten or more persons are employed or were employed on any day preceding 12 months as a class of establishments to which the said Act shall apply with effect from the date of publication of this notification.	None
Provided that nothing contained in this notification shall affect the operation of the notification of the Ministry of Labour S.O. 239 dated 8th January, 1982.	None
An educational institution, therefore, is an establishment notified under S.1(3)(c) of the Payment of Gratuity Act, 1972.	None
On behalf of the Municipal Corporation, it is contended that the only beneficial effect of the Notification issued under S.1(3)(c) of the Act of 1972, is that such non teaching staff of educational institutions as answer the description of any of the employment contained in the definition Clause.2(e), would be covered by the provisions of the Act.	Arguments of Respondent
The teaching staff being not covered by the definition of employee can get no advantage merely because by notification educational institutions as establishments are covered by the provisions of the Act.	Arguments of Respondent
Having thus compared the various definition clauses of word employee in different enactments, with due regard to the different aims and objects of the various labour legislations, we are of the view that even on plain construction of the words and expression used in definition Clause.2(e) of the Act, teachers who are mainly employed for imparting education are not intended to be covered for extending gratuity benefits under the Act.	Reasoning
Teachers do not answer description of being employees who are skilled, semiskilled or unskilled.	None
These three words used in association with each other intend to convey that a person who is unskilled is one who is not skilled and a person who is semiskilled may be one who falls between two categories meaning he is neither fully skilled nor unskilled.	None
The Blacks Law Dictionary defines these three words as under  Semiskilled work.	None
Work that may require some alertness and close attention, such as inspecting items or machinery for irregularities, or guarding property or people against loss or injury.	Reasoning
Skilled work.	Reasoning
Work requiring the worker to use judgment, deal with the public, analyse facts and figures, or work with abstract ideas at a high level of complexity.	Reasoning
Unskilled work.	Reasoning
Work requiring little or no judgment, and involving simple tasks that can be learned quickly on the job.	Reasoning
In construing the above mentioned three words which are used in association with each other, the rule of construction noscitur a sociis may be applied.	Reasoning
The meaning of each of these words is to be understood by the company it keeps.	Reasoning
It is a legitimate rule of construction to construe words in an Act of Parliament with reference to words found in immediate connection with them.	Reasoning
The actual order of these three words in juxtaposition indicates that meaning of one takes colour from the other.	Reasoning
The rule is explained differently that meaning of doubtful words may be ascertained by reference to the meaning of words associated with it.	Reasoning
(See Principles of Statutory Interpretation by Justice G.P. Singh (8th Ed.), Syn.8 at pg.379).23.	None
The word unskilled is opposite of the word skilled and the word semiskilled seems to describe a person who falls between the two categories i.e. he is not fully skilled and also is not completely unskilled but has some amount of skill for the work for which he is employed.	None
The word unskilled cannot, therefore, be understood dissociated from the word skilled and semiskilled to read and construe it to include in it all categories of employees irrespective of the nature of employment.	None
If the Legislature intended to cover all categories of employees for extending benefit of gratuity under the Act, specific mention of categories of employment in the definition clause was not necessary at all.	Reasoning
Any construction of definition clause which renders it superfluous or otiose has to be avoided.24.	Reasoning
The contention advanced that teachers should be treated as included in expression unskilled or skilled cannot, therefore, be accepted.	None
The teachers might have been imparted training for teaching or there may be cases where teachers who are employed in primary schools are untrained.	Reasoning
A trained teacher is not described in industrial field or service jurisprudence as a skilled employee.	None
Such adjective generally is used for employee doing manual or technical work.	None
Similarly, the words semiskilled and unskilled are not understood in educational establishments as describing nature of job of untrained teachers.	Reasoning
