 	Issue
Santosh Hegde, J. These appeals are preferred against the common judgment of the High Court of Judicature Andhra Pradesh at Hyderabad made in Writ Appeal Nos.1864 of 2001 and 1901 of 2001 whereby the High Court dismissed the appeals filed by the appellant herein confirming the order of the learned Single Judge dated 21112001 made in W.P.Nos.29150 of 1997 and 10461 of 2000.	Issue
Facts necessary for the disposal of these are as followsThe respondent herein was an employee working as Assistant GradeI in the Stores Department of the appellants, R D Division at Hyderabad.	Facts
He borrowed house building advance by depositing title deeds of his properties as securities, creating an equitable mortgage in favour of the appellant.	Facts
As per the terms of the said title deeds of the property belonging to the respondent was to be in custody of the appellant till the entire amount of the loan with interest, was discharged.	Facts
While the mortgage was still subsisting and an amount of Rs.1,34,951/ was due from the respondent, the appellants officers came to know that certain public notices were published in the local Newspaper calling upon the intending purchasers to make their offers for the purchase of the property belonging to the respondent which was mortgaged to the appellant by deposit of title deeds.	Facts
On the appellants coming to know of the same, its officers approached the advocate who on behalf of the respondent had issued the publication.	Facts
They came to know that the original title deeds which were supposed to be in deposit of the company was in his custody.	Facts
Obviously, because it was stealthily taken away from the custody of the appellant.	Facts
Based on said facts a departmental enquiry was instituted and on the reports submitted by the Enquiry Officer holding the appellant guilty of the misconduct charged and taking into consideration the seriousness of the charge the services of the respondent were terminated.3.	Facts
Being aggrieved of the said decision of the appellant, respondent approached the Additional Labour Court challenging the said enquiry report as well as the consequential punishment imposed on him.	Facts
The Labour Court after considering the report of the Enquiry Officer has also examined certain witnesses summoned by it came to the conclusion the finding given by the Enquiry Officer and also the confirmation of the said finding by the Disciplinary Authority was legal and valid.	Facts
It also observed that in view of the said fact it did not see any reason to come to a different conclusion from that of the Enquiry Officer.	Facts
During the course of its order it also observed that the most of the facts were not disputed and the documents which were supposedly to be in the custody of the appellant found its way to the possession of the respondent and by so obtaining the possession of the document the appellant tried to sell the property when the mortgage was still subsisting.	Facts
The Labour Court also recorded the following findingNo doubt the confidence of the employer on this petitioner has shaken by this occurrence but no instance of earlier misconduct are spelt.	Facts
On the other hand it appears he is an active participant in the cultural activities and for common cause of the employees.	Facts
Therefore, I also feel the punishment of dismissal from service is harsh in the circumstances.4.	Facts
Being aggrieved by the said order directing the reinstatement of the respondent the appellant preferred a writ petition before the learned Single Judge, the respondent also being aggrieved by the order upholding his misconduct filed a writ petition before the High Court challenging that part of the order.	Facts
The learned Single Judge after hearing the parties dismissed both the writ petitions.	Facts
In the course of his orders the learned Single Judge observedThere is any amount of spectrum of discretion vested with the Tribunal in taking into consideration the facts and circumstances of the case.	Facts
The decision relied upon by the learned Counsel for the Management has to be taken into consideration basing on the facts and circumstances of the case5.	Facts
On the above basis writ petitions of the appellant as well as that of the respondent came to be dismissed.	Facts
Against the said judgment of the learned Single Judge both the appellant and respondent herein preferred appeals before the Division Bench of the High Court which dismissed the writ appeals on the following grounds In our opinion, a reading of Section 11A would show that the power of the Labour Court is without limitation.	None
The Labour Court or the Industrial Tribunal can interfere when the punishment awarded is disproportionate to the proved guilt.	None
Under such circumstances, the Labour Court, in our opinion, is bound to give and should give its reasons in support of its decision.	None
No doubt, the Labour Court, after due discussion of the charges and the evidence adduced by both the parties came to the conclusion that the charges stand proved Having carefully considered the entire facts and circumstances of the case, were do not find any impropriety or illegality in the award of the Labour Court as confirmed by the learned single Judge in modifying the punishment of dismissal from service to that of reinstatement into service as a fresh candidate in the post of Assistant GradeII.	None
The Labour Court, in our opinion, had exercised its discretionary power under Section 11A judiciously and has given valid and cogent reasons for modifying the punishment It is against the said judgments of the courts below directing the fresh appointment of the respondent in spite of finding of the Labour Court that the conclusions arrived at by the Enquiry Officer is correct, the appellant is before us in these appeals.	None
