 	Reasoning
AGRAWAL, J. These petitions under Article 32 of the Constitution raise a common question as to the validity of subpara (10) of para 218 of the Import and Export Policy for the period April 1988 to March 1991	Issue
The petitioners in both these writ petitions are partnership firms carrying on business of import of rough diamonds and export of cut and polished diamonds.	Facts
The Import and Export Policy for the period April 1978 to March 1979, in para 174, made provision for grant of certain import facilities to Export Houses which were registered in accordance with the provisions of the said Policy.	Facts
One of the said facilities was grant of an Additional Licence in terms of para 176 of the said Policy for an amount to be calculated at onethird the f.o.b. value of the exports of select products made by the Export House in the year 197778.	Facts
The petitioners submitted application for registration as Export Houses and for grant of Export House Certificate which would have entitled them to the grant of such Additional Licence.	Facts
The said applications of the petitioners were rejected by the authorities on the view that petitioners had failed to diversify their export of Other Products during the year 197778.	Facts
The said order refusing the Export Certificate was challenged by the petitioners by filing writ petitions under Article 226 of the Constitution before the Bombay High Court.	Facts
One of those writ petitions (filed by the petitioners in Writ Petition No. 460 of 1988 herein) was dismissed by a learned Single Judge of the High Court and the said petitioners file an appeal before a Division Bench of the High Court.	Facts
While the said appeal and the other writ petition (filed by the petitioners viz.	Facts
Writ Petition No. 459 of 1988 herein) were pending in the Bombay High Court, this Court decided Civil Appeal No. 1423 of 1984, Union of India v. Rajnikant Brothers 1986 Supp(SCC) 692), and other connected matters by order dated April 18, 1985, wherein it was observed that there was no requirement of diversification of exports as a condition for the grant of Export House Certificates in the Import Policy for the year 197879, and the authorities were directed to issue necessary Export Certificates for the year 197879.	Facts
In that order this Court laid down the following condition (SCC pp. 69293)	Facts
Save and except items which are specifically banned under the prevalent import policy at the time of import, the respondents shall be entitled to import all other items whether canalised or otherwise in accordance with the relevant rules.	None
The writ petition and the appeal were decided by the Bombay High Court in accordance with the aforesaid decision of this Court in the case of Union of India v. Rajnikant Brothers 1986 Supp(SCC) 692), and the High Court directed the authorities to grant Export House Certificates to the petitioners under the Import Policy 197879 within three months.	None
While giving the said direction the High Court imposed a condition in the same terms as laid down by this Court in its order dated April 18, 1985, referred to above While construing the aforesaid direction contained in its order dated April 18, 1985, in Rajnikant Brothers case 1986 Supp(SCC) 692), this Court has held that the grantees of the Additional Licences were not only prohibited from importing items which were excluded under the Export Policy 197879 but also from importing items excluded under the Import Policy prevailing at the time of import and that the word banned was intended to take in terms which were banned altogether as well as items which were banned for import by the holder of an Additional Licence.	None
(See Raj Prakash Chemicals Ltd. v. Union of India ( 1986 (2) SCC 297 1986 (1) SCR 448 )).	None
In Union of India v.	None
Godrej Soaps Pvt. Ltd.	None
( 1986 (4) SCC 260 1986 SCC(Cri) 434 1986 (3) SCR 771 ) this Court construed the words whether canalised or otherwise contained the order dated April 18, 1985, passed in Rajnikant Brothers case 1986 Supp(SCC) 692) and it was observed that the court would not know whether in the future certain canalised items could be imported directly by an Export House holding an Additional Licence and that the possibility of a policy being framed in the future enabling an Export House holding an Additional Licence to directly import items which are noncanalised and also items which are canalised could not be ruled out and it was in this light that the court can be said to have used the words whether canalised or otherwise in the order dated April 18, 1985.	None
The matter was further clarified by this Court in D. Navinchandra Co., Bombay v. Union of India ( 1987 (3) SCC 66 1987 (2) SCR 989 ), wherein this Court has observed (SCC p. 76, para 20) Analysing the said order, it is apparent, (1) that the importation that was permissible was of goods which were not specifically banned, (2) such banning must be under the prevalent import policy at that time of import, and (3) whether items which were canalised or uncanalised would be imported in accordance with the relevant rules.	None
These conditions had to be fulfilled.	None
The court never did and could not have said that canalised items could be imported in any manner not permitted nor it could have given a goby to canalisation policy.	None
In accordance with the directions given by the Bombay High Court the petitioners in Writ Petition No. 459 of 1988 herein were granted the Export House Certificate and were also granted an Additional Licence dated November 16, 1987.	Facts
Similarly, the petitioners in Writ Petition No. 460 of 1988 herein were granted the Export House Certificate and an Additional Licence dated August 31, 1987.	None
These licences were valid for a period of 12 months and they contained the following endorsement This licence is valid for import of items permissible to Export Houses under the Additional Licence category as per para 176 of Import Policy 197879 excluding those items which were banned in the policy for the period 197879 and those which have been specifically banned in the prevailing Import Policy, 198588, pursuant to and subject to the decision of the Supreme Court dated March 5, 1986 in Raj Prakash Chemicals case ( 1986 (2) SCC 297 1986 (1) SCR 448 ) the decision dated May 15, 1986 in the case of IndoAfghan Chambers of Commerce (Indo Afghan Chambers of Commerce v. Union of India, 1986 (3) SCC 352 1986 (3) SCR 88 ), the decision dated September 12, 1986 in the case of	None
