 	Arguments of Respondent
S. Singhvi, J.	None
In compliance of the direction given by sevenJudge Bench in S.B.P. Company v. Patel Engineering Ltd. and another (2005) 8 SCC 618 , these appeals have been listed for disposal in the light of the principles laid down in that judgment.	None
In the special leave petitions, out of which these appeals arise, the appellants had challenged orders dated 3.2.2003 passed by the Division Bench of the Bombay High Court whereby it held that the writ petitions filed against the orders passed by the learned designated Judge of that Court appointing Shri Justice M.N. Chandurkar (Retired) as the third arbitrator for resolution of the disputes between the appellants and respondent No.1 are not maintainable.	Issue
For this purpose, the Division Bench relied upon the judgment of this Court in Konkan Railway Corporation Ltd. and others v. Mehul Construction Company (2000) 7 SCC 201 , which was subsequently approved by a Constitution Bench in Konkan Railway Corporation Ltd. and another v.	Issue
Rani Construction Pvt. Ltd.	Issue
(2002) 2 SCC 388.	Issue
The ratio of the Constitution Bench judgment was that the power exercised by the Chief Justice or any person or institution designated by him under Section 11(6) of the Arbitration and Conciliation Act, 1996 (for short, the Act) is purely administrative and the measures taken under that section are not open to be challenged by the aggrieved party by resorting to intermediary proceedings.	Issue
The judgment of the Constitution Bench was overruled by the sevenJudge Bench in S.B.P. Company v. Patel Engineering Ltd. and another (supra) and it was held that the power exercised by the Chief Justice of the High Court or the Chief Justice of India under Section 11(6) of the Act is a judicial power and not an administrative power and further that an order passed by the Chief Justice of the High Court or by the designated Judge of that Court can be challenged only under Article 136 of the Constitution.	Issue
After the judgment of the larger Bench, the appellants filed I.A. Nos. 1 and 2 of 2006 for leave to amend the memorandums of appeal so as to enable them to make a prayer for setting aside orders dated 18.11.2002 passed by the learned designated Judge of the High Court in Arbitration Application Nos. 114 of 2002 and 90 of 2002.	None
At the commencement of hearing of the appeals on 6.10.2009, the prayer of the appellants was granted.	None
In the light of the above, we shall now consider whether orders dated 18.11.2002 passed by the learned designated Judge of the Bombay High Court under Section 11(6) of the Act appointing Shri Justice M.N. Chandurkar (Retired) as third arbitrator is legally correct.	Issue
Background facts In March, 1992, the Government of Maharashtra awarded contract to respondent No.1 for execution of works relating to Stage IV of the Koyna Hydroelectric Project.	Facts
Respondent No.1 subcontracted a portion of that work i.e., construction of civil works from Lake Intake to Emergency Valve Tunnel  K.H.E.P.	Facts
Stage IV  I.C.B. No.1 to the appellant and M s.	Facts
B.T.	Facts
Patil Sons (Construction) Ltd., Belgaum (herein after described as B.T. Patil Sons).	Facts
For this purpose, the parties entered into two agreements on 15.10.1992 viz., subcontract agreement and piece work agreement.	Facts
Both the agreements contained identical clauses for resolution of disputes and differences between the parties by arbitration.	Facts
For the sake of convenient reference, Clause 19 of the piece work agreement is reproduced below The continuance of this piece work agreement contract or at any time after the termination thereof, any difference or dispute shall arise between the parties hereto in regard to the interpretation of any of the provisions herein contained or act or thing in relation to this agreement contract, such difference or dispute shall be forthwith referred to two Arbitrators for Arbitration in Bombay one to be appointed by each party with liberty to the Arbitrators in case of differences or their failure to reach an agreement within one month of the appointment, to appoint an umpire residing in Bombay and the award which shall be made by two Arbitrators or umpire as the case may be shall be final, conclusive and binding on the parties hereto.	Facts
If either party to the difference or dispute shall fail to appoint an arbitrator within 30 calendar days after notice in writing having been given by the parties or shall appoint an arbitrator who shall refuse to act then the arbitrator appointed by the other party shall be entitled to proceed with the reference as a Sole Arbitrator and to make final decision on such difference or dispute and the award made as a result of such arbitration shall be a condition precedent to any right of action against any two parties hereto in respect of any such difference and dispute.	Reasoning
(emphasis added)	None
In October 1996, some disputes and differences arose between the Government of Maharashtra and respondent No.1 with regard to contract dated 10.3.1992.	Facts
The panel of three arbitrators appointed by the parties passed unanimous awards on 11.2.2000 requiring the State Government to pay Rs.24,09,25,965/ to respondent No.1.	Facts
The State Government challenged those awards but, later on, withdrew its challenge and paid the amount to respondent No.1.	Facts
On 3.7.2001, the appellants through their power of attorney holder, Balasaheb B. Patil served a notice upon respondent No.1 requiring it to pay the amount allegedly due to them, but the latter did not comply with their demand.	Facts
After three months, the appellants invoked the arbitration clauses enshrined in the subcontract agreement and piece work agreement and issued letter dated 3.10.2001 appointing Shri T.G. Radhakrishna (retired Chief Engineer) (respondent No.2 herein) as an arbitrator on their behalf.	Facts
In its response dated 1.11.2001, respondent No.1 denied the claim of the appellants and, at the same time, appointed Shri S.N. Huddar, Joint Secretary, Irrigation Department, Government of Maharashtra as an arbitrator on its behalf.	Facts
