 	Arguments of Respondent
This appeal is directed against the judgment and order passed by the Customs, Excise and Service Tax Appellate Tribunal (for short the Tribunal), Mumbai in Appeal No.E/158/03Mum.	Issue
dated 25.07.2003.	None
By the impugned judgment and order, the Tribunal has partly allowed the appeal filed by the respondentassessee, inter alia, stating that the assessee is entitled to avail the benefit of the Notification No.8/97CE, dated 1.3.1997.	Issue
It is the correctness or otherwise of the said finding and conclusion reached by the Tribunal, is the subject matter of this appeal.2.	Issue
The core issue that falls for our consideration and decision is whether the finished goods manufactured by the 100 Export Oriented Unit (the EOU for short) out of the raw material supplied by another 100 EOU, and subsequently, cleared in the Domestic Tariff Area (for short the DTA) in accordance with the EXIM Policy 19972002 are entitled to the benefit of the exemption provided under the Notification No.8/97CE, dated 1.3.1997.	Issue
In the alternative, whether the adjudicating authority is justified in holding that the assessee cannot take the benefit of the Notification No.8/97CE, dated 1.3.1997 and the assessee, at the most, can take benefit of the Notification No.2/95CE, dated 4.1.1995.	Issue
Brief facts, as noticed by the adjudicating authority may be stated M s. Favourite Industries, respondent herein, is engaged in the manufacture of processed Polyester Grey Man Made fabric, falling under chapter subheading 5407.51 of the Customs Tariff Act, 1975 and chapter subheading 5406.10 of the Central Excise Tariff Act, 1985 (for short the Tariff Act), out of raw materials obtained indigenously and or imported free of Central Excise Customs duties, as the case may be, under the obligation of export of the final product as well as clearance of final product in the DTA on payment of appropriate duty as applicable from time to time as provided under the EXIM Policy for the period commencing from 1997 to 2002.4.	Facts
The respondentindustrial unit of the assessee has been granted licence on 27.6.2000 for Private Bonded Warehouse under 100 Export Oriented Scheme under Section 58 of the Customs Act, 1962.5.	Facts
The respondentindustrial unit has also obtained permission for advance DTA sale, vide letter No.	Facts
KFTWZ/100 EOU II/765/2000 01/3381 dated 27.7.2000 which will be valid for a period of three months counted from the date of issuance of permission, that is, upto 26th October, 2000 only.6.	Facts
In the Show Cause Notice, it was stated that the respondentindustrial unit had filed the RT13 returns for the months of August, 2000 to December, 2000.	None
On going through the invoices, in respect of clearance made in the DTA, filed by the respondentindustrial unit along with RT 13 returns for the month of June to October, 2000, it was noticed that the unit had cleared 17,52,421/ Liter Meters Of pro M.M. Fabrics viz.	Facts
finished goods, rejected and waste worth Rs.1,41,43,082/ during the period commencing from 1.8.2000 to 15.10.2000 in DTA on payment of 8 basic excise duty amounting to Rs.13,53,695/ which, according to the adjudicating authority, is a short payment of duty amounting to Rs.2,19,70,733/.	Facts
It is further alleged in the show cause notice that the unit has also cleared 12,78,814 L.Mtrs. of finished goods, rejects and waste worth Rs.1,30,98,643/ during the period starting from 16.10.2000 to 31.12.2000 in DTA on payment of 8 basic excise duty amounting to Rs.13,52,262/, which, according to the adjudicating authority, is a short payment of duty amounting to Rs. 2,13,30,228/.	Facts
According to the adjudicating authority, the respondent has contravened the provisions of EXIM Policy and Rules 100 D and 100 E of the Central Excise Rules, 1944 (for short the Rules) and also the conditions prescribed under 100 EOU scheme.	Facts
Further, according to the adjudicating authority, the respondent industrial unit has contravened the provisions of the Notification No.2/95CE, dated 4.1.1995 and, thereby, the duty amounting to Rs.4,33,00,961/ has been short paid and the same requires to be recovered by invoking the provisions of Section 11A (1) read with Section 11A (2) of the Central Excise Act, 1944 (for short the Act) and also for penal action under Rule 173Q (1) of the Rules.7.	Facts
In view of the aforesaid material charges the adjudicating authority had issued the Show Cause Notices to the assessee, inter alia, directing the assessee to show cause as to why the duty of excise amounting to Rs.4,33,00,961/ should not be demanded and recovered under Section 11A(1) read with Section 11A (2) of the Act.	Facts
Alternatively, to recover interest on the short duty payment by invoking the provisions under Section 11AB of the Central Excise Act and to take appropriate penal action as provided under Rule 173 Q (1) of the Rules, read with Section 11AC of the Act.	Facts
Along with the notice, the adjudicating authority had enclosed Annexures A, B and C working out the details of the short payment of duty during the period in question.8.After receipt of the show cause notices, the assessee had filed its reply dated 18.6.2002.	Facts
The assessee had contended that the goods are manufactured from the raw material produced manufactured in India and, therefore, they are entitled for the benefit of the exemption from payment of certain amount of duty as provided in the Notification No.8/97CE, dated 1.3.1997 on payment of the appropriate duty and, therefore, it cannot be said that they had cleared the manufactured goods as provided in the Notification No.2/95CE dated 4.1.1995.	Facts
To make things clear, they had also said that they had purchased raw material from 100 EOU who had manufactured produced goods in its industrial unit and the said goods cannot be considered as imported raw material and, therefore, the adjudicating authority is not justified in issuing the show cause notices.9.	Facts
After receipt of the reply so filed, the adjudicating authority, after affording an opportunity of hearing to the assessee, had proceeded to hold that the respondent industrial unit could not have taken the benefit of the exemption notification No.8/97CE, dated 1.3.1997 and, if at all, they are entitled to take benefit of the Notification No.2/95CE, dated 4.1.1995.	Facts
Accordingly, had confirmed the demands made in the show cause notices.10.	Facts
The assessee, being aggrieved by the order in original passed by the adjudicating authority, had preferred an appeal before the Tribunal.	Facts
The Tribunal, after considering the conditions enumerated under both the notifications, namely, Notification No.2/95CE, dated 4.1.1995 and Notification No.8/97 CE, dated 1.3.1997, has come to the conclusion that the adjudicating authority is not justified in pinning down the assessee to take the benefit only under the Notification No.2/95CE but not under the Notification No.8/97CE.	Facts
Accordingly, has given relief to the assessee by setting aside the order in original passed by the adjudicating authority.	Facts
The Revenue, being aggrieved by the order so passed by the Tribunal, is before us in this appeal.	Facts
Shri.	Arguments of Petitioner
K. Swami, learned counsel appearing for the Revenue, has taken all the pains to take us through the Notifications, which are the subject matter of this appeal, the reasoning of the adjudicating authority, and the so called fallacy in the reasoning, and the conclusion reached by the Tribunal.	Arguments of Petitioner
Learned counsel also refers to the EXIM Policy 19972002.	None
Learned counsel would submit that in order to take the benefit of the Notification No.8/97CE, the assessee must purchase the raw material manufactured in an industrial unit in a domestic area and if such raw material is used for production or manufacture of goods and sold in the domestic area as provided in the EXIM Policy, then only, it could take the benefit of the Notification No.8/97CE.	Arguments of Petitioner
In the alternative, the learned counsel would submit that the assessee in the present case has purchased the raw material finished products from a 100 EOU for its manufacturing activity for the manufacture of a finished product and in the hands of the purchaser industrial unit, the transaction would be a deemed import and the finished goods in question would be made out of imported raw material finished product and, therefore, the assessee cannot take the benefit of the Notification no.8/97CE.	Arguments of Petitioner
Learned counsel would further submit that, if for any reason, the notification is made applicable to the respondentindustrial unit, the said unit would receive total or undue advantage in payment of the concessional rate of duty on the finished goods, which are even made out of imported raw materials goods.	Arguments of Petitioner
The learned counsel fairly submits that there are no decisions on the issue in vogue	Arguments of Petitioner
but he would contend nearer to the point, by relying on the two decisions of this Court reported in Hindustan Granites v. Union of India, 2007 (211) ELT 3 (SC) and Virlon Textile Mills Ltd. v. Commissioner of Central Excise, Mumbai, 2007 (211) ELT 353 (SC) .12.	Arguments of Petitioner
The learned counsel also submits that the adjudicating authority, keeping in view the transaction of the assessee in buying the raw material finished products from 100 EOU for its manufacturing activity to manufacture finished products, has rightly applied the Notification No.2/95CE and, therefore, the Tribunal ought not to have interfered with the well considered and reasoned order of the adjudicating authority.	Arguments of Petitioner
Shri Tarun Gulati, learned counsel appearing for the assessee, ably justifies the judgment and order passed by the Tribunal.	Arguments of Respondent
