 	Issue
S. Singhvi, J. These appeals are directed against the order of the Division Bench of the Karnataka High Court whereby the writ petitions filed by the respondents were allowed, Section 32(5A) of the Bangalore Development Authority Act, 1976 (for short, the 1976 Act) was declared as violative of Article 14 of the Constitution, void and inoperative and the conditions incorporated in the orders passed by the Bangalore Development Authority (BDA) sanctioning residential layout plans or work orders in terms of which respondents were required to pay deposit various charges sums specified therein were quashed and a direction was issued for refund of the amount.	None
With the formation of the new State of Mysore, it was considered necessary to have a uniform law for planned growth of land use and development and for the making and execution of town planning schemes.	Facts
Therefore, the State Legislature enacted the Mysore Town and Country Planning Act, 1961 (for short, the Town Planning Act).	Facts
The objectives of that Act were (i) to create conditions favourable for planning and replanning of the urban and rural areas in the State of Mysore, with a view to providing full civic and social amenities for the people in the State(ii) to stop uncontrolled development of land due to land speculation and profiteering in land(iii) to preserve and improve existing recreational facilities and other amenities contributing towards balanced use of land and(iv) to direct the future growth of populated areas in the State, with a view to ensuring desirable standards of environmental health and hygiene, and creating facilities for the orderly growth of industry and commerce, thereby promoting general standards of living in the State.3.	Facts
The State of Mysore was renamed Karnataka in 1973.	Facts
Thereupon, necessary consequential changes were made in the nomenclature of various enactments including the Town Planning Act.4.	Facts
Section 4 of the Town Planning Act envisages constitution of a State Town Planning Board by the State Government.	Facts
By Act No.14 of 1964, the Town Planning Act was amended and Chapter IA comprising of Sections 4A to 4H was inserted.	Facts
These provisions enabled the State Government to issue notification and declare any area in the State to be a local planning area for the purposes of the Act and constitute the Planning Authority having jurisdiction over that area.	Facts
Section 9(1) (unamended) imposed a duty on every Planning Authority to carry out a survey of the area within its jurisdiction, prepare and publish an outline development plan for such area and submit the same to the State Government for provisional approval.	Facts
In terms of Section 12(1) (unamended), an outline development plan was required to indicate the manner in which the development and improvement of the entire planning area was to be carried out and regulated.	Facts
Section 19(1), as it then stood, contemplated preparation of a comprehensive development plan and submission of the same for the approval of the State Government.	Facts
Section 21 (unamended) gave an indication of the factors which were to be included in the comprehensive development plan.	Facts
Section 26 (unamended) imposed a duty on every Planning Authority to prepare town planning schemes incorporating therein the contents specified in subsection (1) of that Section.	Facts
For the sake of reference, these provisions are extracted below 4A. Declaration of Local Planning Areas, their amalgamation, subdivision, inclusion of any area in a Local Planning Area.  	None
The State Government may, by notification, declare any area in the State to be a Local Planning Area for the purposes of this Act, this Act shall apply to such area Provided that no military cantonment or part of a military cantonment shall be included in any such area.	None
4C. Constitution of Planning Authority.  	None
(1) As soon as may be, after declaration of a local planning area, the State Government in consultation with the Board, may, by notification in the Official Gazette, constitute for the purposes of the performance of the functions assigned to it, an authority to be called the Planning Authority of that area, having jurisdiction over that area.	None
Preparation of Outline Development Plan.(1)	None
Every Planning Authority shall, as soon as may be, carry out a survey of the area within its jurisdiction and shall, not later than two years from the date of commencement of this Act, prepare and publish in the prescribed manner an outline development plan for such area and submit it to the State Government, through the Director, for provisional approval Provided that on application made by a Planning Authority, the State Government may from time to time by order, extend the aforesaid period by such periods as it thinks fit.	None
Contents of Outline Development Plan.(1)	None
An outline development plan shall generally indicate the manner in which the development and improvement of the entire planning area within the jurisdiction of the Planning Authority are to be carried out and regulated.	Facts
In particular it shall include, (a) a general landuse plan and zoning of landuse for residential, commercial, industrial, agricultural, recreational, educational and other public purposes (b) proposals for roads and highways (c) proposals for the reservation of land for the purposes of the Union, any State, any local authority or any other authority established by law in India (d) proposals for declaring certain areas as areas of special control, development in such areas being subject to such regulations as may be made in regard to building line, height of buildings, floor area ratio, architectural features and such other particulars as may be prescribed (e) such other proposals for public or other purposes as may from time to time be approved by the Planning Authority or directed by the State Government in this behalf.	None
Preparation of the Comprehensive Development Plan.(1) As soon as may be after the publication of the Outline Development Plan and the Regulations under subsection (4) of section 13, but not later than three years from such date, every Planning Authority shall prepare in the prescribed manner a comprehensive Development Plan and submit it through the Director together with a report containing the information prescribed, to the State Government for approval Provided that on application made by a Planning Authority, the State Government may, from time to time, by order in writing, extend the aforesaid period by such periods as it thinks fit.	None
Contents of the Comprehensive Development Plan.(1)	None
The comprehensive Development Plan shall consist of a series of maps and documents indicating the manner in which the development and improvement of the entire planning area within the jurisdiction of the Planning Authority are to be carried out and regulated.	None
