 	Issue
Santosh Hegde, J. The appellant herein, which is a limited company, was running a distillery with a bottling plant at Nawabganj, Saharanpur, since 1910.	Facts
On 14.7.1980 it made an application to the Commissioner of Excise, State of U.P., stating that its distillery has been operating annual licences for wholesale supply of countryliquor to Delhi Administration for many years continuously.	Facts
Therefore, it stated that it wanted to establish a bottling warehouse in district Ghaziabad to meet its requirement of supplying counterliquor to Delhi conveniently and economically.	Facts
It pleaded that due to close proximity to Delhi if it is permitted to start a bottling unit somewhere in the district of Ghaziabad, it will have obvious advantages since bulk of its production of countryliquor was being sold in Delhi.	Facts
It also stated in the said application that it would help the company to bid competitively in the auctions and consequently, the State would also stand to benefit from the excise revenue.	Facts
in the sadi letter, it is stated in clear terms that the State Government would not stand to lose anything by permitting the company to start the bottling warehouse in district Ghaziabad because it would continue to bottle both at Saharanpur as well as at Ghaziabad, hence, the State excise duty from Saharanpur would not suffer.	Facts
It was also made specific in the said application that it was seeking a licence for an additional bottling warehouse at Ghaziabad.2.	Facts
Pursuant to the said application, the appellant was informed on 29.7.1980 that it is permitted to bottle country spirit under bond for exports in a bonded warehouse to be licensed for suitable premises to be indicated by the appellant at Ghaziabad along with various other conditions.	Facts
The said intimation also called upon the appellant to make necessary arrangements after executing counterpart agreement prescribed under the Excise Rules and that the amended CLI licence will be issued by the Office of the Excise Commissioner as also F.L.3 licence will be issued by the Collector, Ghaziabad.3.	Facts
It is stated that for a considerable time the appellant was unable to establish the bottling warehouse as permitted under the letter of the Excise Commissioner, referred to above.	Facts
But it is an admitted fact that such a warehouse with the permission of the authorities was established at Sahibabad, district Ghaziabad, and has been functioning for a member of years.	Facts
In the meantime, it is noticed that the appellant faced certain difficulties in running of its distillery and bottling warehouse at Saharanpur because of the dispute in regard to the property in which its distillery plant was situated at Shaharanpur as also because of the provisions of the Water (Prevention Control of Pollution) Act, 1974.	Facts
Therefore, sometime in the year 1987 the appellant wrote to the Commissioner of Excise in view of the abovecited difficulty that it is permitted to shift its distillery from Sharanpur to some other suitable place.	Facts
The Government as per its letter dated 20.7.1998 informed the appellant that it had no objection to shifting the said distillery from Sharanpur to some other place, other than Sahibabad, district Ghaziabad.	Facts
