 	Reasoning
S. Singhvi, J. Leave granted.2.	None
In these appeals, prayer has been made for setting aside order dated 22.8.2008 passed by the learned Single Judge of Delhi High Court in R.A. Nos. 329 of 2007, 401 of 2007 and CM No. 11710 of 2008 in CM (M) No.398 of 2007.	Issue
After retirement from the service of Indian Railways, the appellant invested Rs.1,90,000 in the Fully Secured Debentures floated by respondent No.1.	Facts
The debentures were due for payment on 14th August, 1998, but just before that date, respondent No.1 vide its letter dated 16.7.1998 informed the appellant and other similarly situated persons that due to financial difficulties it will not be possible to pay the amount of maturity on the scheduled dates and a revised scheme has been worked out for payment of the dues.	Facts
The relevant portions of that letter are extracted below The company had in the month of February, 1997 allotted 17 months and 25 days  19.5 Secured Redeemable Non Convertible Private Placed Debentures of Rs.1,000/ each (Debentures) of the Series A. These Debentures were issued under Regular and cumulative Schemes.	Facts
These Debentures are due for payment on 14th August, 1998.	Facts
However, due to reasons as explained in the next few paragraphs, the payment terms need to be revised.	Facts
It is proposed that the payment as per the revised schemes of repayment shall be made on receipt of your confirmation.	Facts
In case of Debentures issued under the Cumulative Scheme such payment shall comprise of the interest at the coupon rate.	Facts
In case of debentures issued under the Regular Scheme the payment shall comprise of the interest for the period commencing from 21.02.1998 to 14.08.1998.The repayment plan is as under Interest upto the date of By 31.12.1999 maturity as per terms of issue2.	Facts
50 of principal amount By 31.12.19993.	Facts
Balance principal amount 18 months from plus Simple interest the date of 14 p.a.	Facts
from the date of payment of 1st maturity instalment4.	Facts
The above payment will be effected on first come first served basis The assurance contained in the aforementioned letter was reiterated vide communications dated 26.2.1999 and 17.6.1999 sent by respondent No.1.	Facts
This appears to be the reason why the appellant did not press for payment of his dues.	Facts
However, as respondent No.1 did not pay the amount as per the revised scheme, the appellant filed a complaint under the Consumer Protection Act, 1986 (for short, the 1986 Act) before the State Consumer Disputes Redressal Commission, Delhi (for short, the State Commission) with the prayer that respondent No.1 may be directed to pay the amount due to him with interest and compensation of Rs.1 lakh.5.	Facts
In the reply filed on behalf of respondent No.1, it was pleaded that due to financial crunch, it was not possible to repay the amount due to the NCD holders.	Facts
This is evinced from paragraph 3 of the reply which reads thus In view of the serious financial crunch and cash mismatch, DCM has prepared a restructuring scheme in active consultation with financial institutions and the same has been filed in Honble High Court at New Delhi.	Facts
Given the revised arrangement for real estate project, the scheme envisaged interest on the aforesaid NCDs upto 31.12.1998 on the basis of contractual interest rate till maturity i.e. 14.08.98 and at 14 thereafter till 31.12.1998.	Facts
In terms of the scheme, the payment of principal interest would be made in 24 years.	None
The Honble Delhi High Court vide order dated 14.2.2000 was pleased to convene a meeting of the shareholders creditors on 17/18.05.2000.	Facts
The notice on the scheme would be issued by Honble Delhi High Court to all the NCD holders in due course.	Facts
From the aforesaid the Honble Consumer Forum would appreciate that necessary efforts are being made by the respondent company to repay to the NCD holders and only for the reasons totally beyond the control of the company, the respondent company is at present not able to repay to the NCD holders including complainant.	Facts
During the pendency of the complaint, the State Commission passed three interim orders dated 29.9.2003, 15.7.2004 and 7.7.2005 for payment of at least 50 of the amount due to the appellant.	Facts
These orders read as under 29.09.2003Present Complainant in person along with counsel Mr. Arya Girdhari.	None
Shri S.C. Verma, an employee of the OP in person.	None
C255/99It is stated by the complainant that he has to undergo bypass surgery on priority basis which cannot be postponed and therefore, he requests on the ground of compassion that at least the principal amount be paid to him on priority.	Facts
Shri S.C. Verma who is appearing on behalf of the OP, is directed to seek instructions on the above point to ensure that in view of the above fact, at least the principal amount, without prejudice to rights and conditions of the parties, is paid to the complainant.	Facts
A copy of this order be given dasti to the representative of the O.P. to enable him to have suitable instructions on the above point.	Facts
Relist on 1.10.2003.Sd  (Justice Lokeshwar Prasad)PresidentSd (Mahesh Chandra)Member5.07.2004Present Complainant present in person.	None
Mr. Rahul Srinivastava, Counsel for the OP.C255/99Vide order proceedings dated 29.9.2003, the OP was directed to ensure that at least the principal amount to the complainant who has to go bye pass surgery be paid without prejudice to the rights and contentions of the parties.	Facts
The learned counsel for the OP has relied upon the scheme framed by the Honble High Court of Delhi by way of order dated 29.10.2003 whereby the OP was required to pay at least the amount deposited with them by the subscription of the scheme for construction of flats.	Facts
Since the complainant has to undergo bye pass surgery.	Facts
It is directed that at least 50 of the deposited amount be paid to the complainant on humanitarian ground to meet his medical expenses without the prejudice to the rights and contentions of the parties and without the prejudice to the scheme framed by the Honble High Court of Delhi in the aforesaid order.	Facts
Relist on 26.10.2004.Sd  (Justice J.D. Kapoor)PresidentSd  (Rumnita Mittal)Member07.07.2005Present Complainant in person.	None
Mr. Saurabh Sodhi, Counsel for the OP.C255/99Complainant has been paid 50 of the deposited amount.	Facts
He is an old man waiting for his bypass surgery and could not get it done for want of funds.	None
Counsel for the OP is directed to seek instructions from the OP to pay the deposited amount to the complainant on humanitarian ground and the remaining dispute can be decided at the time of final hearing.	Facts
Relist on 05.08.2005.Sd (Mahesh Chandra)Presiding MemberSd (Rumnita Mittal)	None
Member The State Commission finally allowed the complaint and directed the respondent to pay the maturity amount to the appellant as per the terms of contract along with interest at the agreed rate up to the maturity date and 12 after the maturity date.	Facts
The State Commission also awarded Rs.10,000/ as cost of litigation.8.	Facts
Respondent No.1 challenged the order of the State Commission by filing an appeal under Section 21 of the 1986 Act but withdrew the same on 25.4.2007.	Facts
Thereafter, it filed a petition under Article 227 of the Constitution of India, which was allowed by the learned Single Judge vide his order dated 11.7.2007 on the premise that in the face of the scheme sanctioned by the Company Judge under the Companies Act, the State Commission did not have the jurisdiction to entertain the complaint.9.	Facts
The appellant, who could not appear before the High Court on the date of hearing i.e., 11.7.2007, filed an application for recall of the aforementioned order, but the same was dismissed by the learned Single Judge without going into the issue whether the cause shown by the appellant for his nonappearance was sufficient.	Facts
We have heard learned counsel for the parties and perused the record.	None
At the outset, we deem it proper to mention that during the course of hearing of these appeals, learned counsel for respondent No.1 produced fax copy of letter dated 10.4.2008 allegedly written by the appellant to Shri Kirat S. Nagra, Advocate for respondent No.1 admitting that he has received full amount, but learned counsel appearing for the appellant emphatically asserted that the amount due to his client has not been paid.	None
Ms. Prasanthi Prasad, learned counsel for the appellant argued that the High Court committed a jurisdictional error by entertaining the petition filed by respondent No.1 under Article 227 of the Constitution ignoring that respondent No.1 had already availed the statutory remedy of appeal.	Arguments of Petitioner
Learned counsel submitted that there was no extraordinary reason which could justify entertaining of a petition by the High Court under Article 227 of the Constitution by making a departure from the settled law that it will not entertain a petition under Article 226 or 227 of the Constitution if an effective alternative remedy is available to the aggrieved person.	Arguments of Petitioner
Ms. Prasanthi Prasad further argued that the learned Single Judge committed a serious error by declining to entertain the application filed by the appellant for recall of order dated 11.7.2007.	Arguments of Petitioner
