 	Arguments of Respondent
This appeal has been filed challenging the judgment of the Calcutta High Court dated 20.09.2017 allowing the writ appeal filed by the respondent.	Issue
The respondent has filed appeal before the Division Bench of the Calcutta High Court questioning the judgment of learned Single Judge passed in Writ Petition No.2712(W) of 2010 Rathin Ghosh vs. West Bengal State Electricity Distribution Company Limited, whereby the writ petition was allowed setting aside the dismissal order of the appellant with all consequential benefits.	Issue
2.	None
The appellant was appointed as Graduate Engineer (Training) in the year 1985 in the West Bengal State Electricity Board, which subsequently was restructured and reorganized to form the West Bengal State Electricity Distribution Company Ltd. (hereinafter referred to as Company?).	Facts
The appellant on account of his work and conduct was promoted to different posts and in the year 2007, he was holding the post of Superintending Engineer.	Facts
In February, 2007 he was asked to prepare a draft specification of singlephase static meters.	Facts
The draft specification submitted by the appellant was approved by the competent authority, which technical specifications were to be provided to all bidders and was an open document.	Facts
Tender No.P2/200708/(PII) was published for purchase of 20 lakh meters which tender was cancelled for technical reasons.	Facts
Fresh specifications drafted by Advisor (Security and Vigilance) and settled by Additional Chief Engineer (District Testing) was approved by all Technical Directors of the Board of Directors and the ChairmancumManaging Director.	Facts
The Tender No.P28/200708 was issued by the Company for procurement of 10 lakh meters on 09.01.2008.	Facts
Nineteen bids along with their respective sample meters were received by the Company on 08.02.2008.	Facts
The samples of the meters were sent to the Additional Chief Engineer (Testing) for evaluation.	Facts
On 13.03.2008 the said meters were tested by a team of officers and technicians which included the appellant.	Facts
On 26.03.2008, the appellant received the personal invitation from an organization IEEMA to attend a presentation organised in New Delhi.	Facts
On testing of sample meters by the team of officers, only four bidders were found technically qualified which also included one bidderM s. Secure Meters.	Facts
The Chairman of the Company on 31.03.2008 approved the opening of the price bids of the three technically suitable bidders, bids were opened and M s. Secure Meters was declared the successful bidder to the highest rate.	Facts
Other two bidders were also successful bidders having offered rates lower than M s. Secure Meters.	Facts
On 16.04.2008, the appellant informed his immediate superior Officer, Additional Chief Engineer (Distt.	Facts
Testing) about his going to New Delhi to attend IEEMA?s Conference.	Facts
The appellant got his Air Tickets booked from Globe Travel Agents, who were the travel agents of M s. Secure Meters for to and fro visit to Delhi.	Facts
On 17.04.2008, the appellant attended the IEEMA Conference at New Delhi and returned on 17.04.2008 to Calcutta itself.	Facts
On 18.04.2008, the Globe Travel Agency raised an invoice of Rs. 12,350/ for the return air ticket of the appellant upon M s. Secure Meters as the booking was done through them.	Facts
On 24.04.2008, on an enquiry by the Corporate Vigilance Department of the Company to Globe Travel Agency about the appellant?s ticket, which informed that the payment towards the aforesaid invoice was still due.	Facts
On 28.04.2008, the appellant paid the entire amount of Rs.12,350/ to M s. Secure Meters for payment of the aforesaid invoice raised by Globe Travel Agency.	Facts
On 29.04.2008, the respondentCompany suspended the appellant and initiated disciplinary proceedings.	Facts
The appellant was suspended alleging gross misconduct tarnishing the image of the Company.	Facts
3.	None
The appellant, who had 22 years unblemished service to his credit, felt hurt by the act of the Company suspending him.	Facts
The appellant on 13.05.2008 submitted his resignation to the Company.	Facts
The appellant in his resignation letter mentioned that his order of suspension is an act of vengeance instigated by the parties whose personal agenda had been disturbed by his honest intentions.	Facts
The appellant also expressed his willingness to pay the Company three months salary in lieu of notice.	Facts
A chargesheet dated 28.05.2008 was submitted.	Facts
The chargesheet was served on the appellant on 28.05.2008 for proposed enquiry to be held under Regulations 61 and 63 of WBSEB Employees?	Facts
Service Regulations.	Facts
The appellant submitted his reply.	Facts
