 	Issue
S. Singhvi, J. Leave granted.	None
This appeal is directed against order dated 20.2.2013 by which the learned Single Judge of the Bombay High Court refused to stay the order passed by respondent No.1 ?	None
District Deputy Registrar Cooperative Societies cumCompetent Authority, Mumbai City (3)?cum?Competent Authority appointed under Section 5A of the Maharashtra Ownership Flats (Regulation of the Promotion of Construction, Sale, Management and Transfer) Act, 1963 for grant of certificate to respondent No.3 ?	None
Royal Diamond Park Cooperative Housing Society Ltd. to get a unilateral conveyance deed executed and registered in respect of an area measuring 2634.36 sq. mtrs.	None
out of CTS Nos.661 to 691 of Village Kole Kalyan, Bandra.3.	Facts
At the outset, we consider it proper to mention that when IA No.3/2013 filed by respondent No.3 was listed for hearing, learned counsel for the parties were heard on the merits of the case and the order was reserved.4.	Facts
Late Shri Mohan Singh (predecessor of the appellants) owned land measuring 4144.90 sq. mtrs.	Facts
comprised in CTS Nos. 661 to 691 of Village Kole Kalyan, Taluka Andheri.	Facts
On 16.10.1979, he entered into an agreement with respondent No.4 for sale of land measuring 3762.45 sq. mtrs.	Facts
After execution of the agreement, respondent No.4 constructed five buildings, which were occupied by the members of three Cooperative Housing Societies, i.e., respondent Nos. 3, 5 and 6.5.	Facts
Due to nonpayment of the amount in terms of agreement dated 16.10.1979, the appellants, who are the legal heirs of late Shri Mohan Singh, issued notice dated 16.3.2005 and terminated agreement dated 16.10.1979.	Facts
After four years, respondent No.5 approached the appellants for purchase of 702.341 sq. mts.	Facts
out of the land owned by late Shri Mohan Singh.	Facts
At the asking of the appellants, respondent No.5 produced the consent of respondent Nos. 3 and 6.	Facts
Thereafter, the appellants executed conveyance dated 25.8.2011 in favour of respondent No.5 and the developer ?	None
M s.	None
Rahul Constructions.6.	None
Although the appellants had terminated agreement dated 16.10.1979, respondent No.3 entered into an agreement with M s. Raja Constructions Company (M s. Raja Builders) for redevelopment of the buildings of ?	Facts
C?, ?	None
D?	None
and ?E? Wings.7.	None
