 	Decision
Santosh Hegde, J. Respondentlandlord had filed an eviction petition before the Court of Rent Controller, Jagadhri in the year 1979 seeking eviction of the appellant herein from the petition scheduled land situated on Jagadhri Road, Yamuna Nagar and under Section 13 of the Haryana Urban (Control of Rent and Eviction) Act, 1973 (hereinafter referred to as the Act) claiming that the petition scheduled land is required by it for its personal use and occupation.	Facts
As required under that Act it also contended that it is not occupying in the urban area of Yamuna Nagar any other rented land for the purpose of its business not it has vacated any such rented land without sufficient cause after the commencement of the Act.	Facts
It also alleged in the said petition that the premises already in its possession are not sufficient for its requirement.	None
Appellanttenant opposed the said petition on a number of grounds, primarily on the ground that the petition scheduled premises was not a rented land but was a building as contemplated under the Act and he also alleged that the landlord had not given material particulars in regard to its requirement of additional space.	Facts
By an amendment of his objection, the tenant further pleaded that the landlord had filed several other applications against other tenants alleging personal requirement and during the pendency of the eviction petition in question, it had obtained possession of building and land from three other tenants, hence, the landlords claim for his eviction is not bona fide.	Facts
In its rejoinder petition, the landlord admitted that it had obtained possession of three premises through eviction proceedings and the same along with petition scheduled land was required for its extension of coal yard, the foundry and for storage of foundry material like sand, earth, fire wood, firebricks etc.	Facts
The trial Court framed the following issues for its consideration  Whether the applicant Company is a private limited company and whether Ram Avtar is a competent to file the present application for ejectment ?	None
OPA	None
Whether the property in dispute is a rented land and if so its effect ?	None
OPA	None
If issues No. 2 is proved in the affirmative whether the applicant company requires the premises in dispute for its bona fide use and occupation ?	None
OPA	None
Whether the suit land is a nonresidential building and as such the ground of ejectment for personal use is not available to the applicant ?	None
OPP Relief.	None
Additional issues framed on 15.10.1986  4A. Whether the personal necessity of the applicant stands satisfied during the pendency of the present petition ?	None
OPP Trial Court accepted the case of the landlord and ordered eviction of the appellant.	Facts
In appeal, the Appellate Authority remanded the matter back to the Rent Controller for a fresh decision.	Facts
This order of remand came to be challenged before the High Court and the High Court was pleased to accept this challenge and directed the appellate court to rehear and decide the appeal itself.	Facts
It, however, restricted the scope of rehearing to be confined to Issue Nos. 3 and 4A only.	None
On remand the Appellate Authority allowed the appeal of the tenant and decided the said issues in favour of the tenant.	Facts
Being aggrieved by the order of the Appellate Authority, the landlord preferred a revision petition before the High Court which came to be allowed in favour of the landlord by the judgment of the High Court pronounced on 26th of May, 1998.	Facts
The tenant preferred a review petition before the High Court alleging certain specific omission in the judgment of the High Court and the said review petition being dismissed by an order of the High Court dated 3rd of July, 1998, the tenant has preferred the above noted civil appeal.	Facts
Before us on behalf of the tenant Shri M.L. Verma, learned senior counsel has raised the following questions  That on the pleading as filed before the original authority, no eviction could have been ordered because the said pleading on behalf of the landlord did not contain material particulars as required under Rule 4 of the Haryana Urban (Control of Rent and Eviction) Rules (hereinafter referred to as the Rules)ion 15 of the Act, has the jurisdiction to correct any illegality or impropriety committed by the Appellate Authority.	Arguments of Petitioner
In reply to the third point, he contended that the proviso relied upon by the appellant did not apply to the facts of the case.	Arguments of Petitioner
He also argued that this point of the applicability of the proviso was not raised specifically by the tenant and no issue has been framed in this regard.	Arguments of Petitioner
Therefore, he argues that the appellant should not be permitted to raise the question for the first time before this Court.	Arguments of Petitioner
We are not inclined to accept the first two points raised on behalf of the appellant before us.	Reasoning
It is true in the original eviction petition all the material particulars of the requirement of the landlord were not mentioned in detail, but then in the rejoinder application all the necessary particulars are given by the landlord, notice of which the appellant had and the original authority had struck a proper issue on this question and parties understood each others case and led evidence on this issue, though Rule 4 of the Rules does require the landlord to give material particulars, this Court has held with reference to the same rule in the case of Ms. Rubber House v. Ms. Excelsior Needle Industries Pvt. Ltd., 1989(2) SCC 413 1989(2) RCR 530 (SC) that the said rule is not mandatory and is only directory.	Reasoning
Therefore, the fact that the landlord did not give all the material particulars of his requirement in the first instance cannot be made a ground for rejection of the application.	Reasoning
