 	Reasoning
S. Singhvi, J. Leave granted.	None
Feeling aggrieved dissatisfied with the judgment of the learned Single Judge of the Punjab and Haryana High Court whereby he enhanced the amount of compensation payable to the landowners from Rs.28,15,356 per acre to Rs.37,40,000 per acre, the beneficiary of the acquisition, namely, Haryana State Industrial Development Corporation Limited, now known as Haryana State Industrial and Infrastructure Development Corporation (HSIIDC), and the landowners have filed these appeals.	Issue
In furtherance of the policy decision taken by it to establish Industrial Model Township at Manesar (hereinafter described as IMT Manesar), District Gurgaon, the Government of Haryana acquired large tracts of land under the Land Acquisition Act, 1894 (for short, the Act).	Facts
For PhaseI of IMT, Manesar, over 700 acres of land was acquired.	Facts
By notification dated 30.04.1994 issued under Section 4 of the Act, which was followed by declaration dated 30.09.1995 issued under Section 6, 256 acres 3 kanals and 17 marlas land of village Manesar was acquired.	Facts
By another notification dated 15.11.1994 issued under Section 4 of the Act, which was followed by Section 6 declaration dated 10.11.1995, 490 acres 3 kanals 17 marlas land situated in villages Manesar, Naharpur Kasan, Khoh and Kasan was acquired.	Facts
For PhaseII, 1380 kanals 16 marlas land situated in villages Kasan,	None
Bas Kusla, Naharpur Kasan and Manesar was acquired vide notification dated 6.3.2002 issued under Section 4 of the Act which was followed by Section 6 declaration dated 15.11.2002.	Facts
Another notification was issued on 7.3.2002 under Section 4 of the Act for the acquisition of 595 acres 5 kanals 12 marlas land situated in villages Kasan, Bas Kusla, Bas Haria and Dhana for PhaseIII of IMT, Manesar.	Facts
The declaration under Section 6 was issued on 25.11.2002.	None
For PhaseIV, 567 acres 4 kanals 3 marlas land was acquired vide notification dated 26.2.2002 issued under Section 4 of the Act and for PhaseV, 965 acres 5 kanals 18 marlas land was acquired vide notification dated 17.9.2004 issued under Section 4 of the Act.	Facts
Since the issue arising in these appeals relates to the quantum of compensation payable in lieu of the acquisitions made for PhasesII and III of IMT, Manesar, we do not consider it necessary to take cognizance of the facts relating to other acquisitions but would make a reference to the events leading to the judgment of this Court in Haryana State Industrial Development Corporation v. Pran Sukh and others (2010) 11 SCC 175 , and the orders passed in the review applications filed by HSIIDC.	Facts
For the acquisition made vide notification dated 30.4.1994, the Land Acquisition Collector passed award dated 28.3.1997 whereby he fixed market value of the acquired land at the rate of Rs.3,67,400 per acre.	Facts
On a reference made at the instance of the landowners, the Reference Court divided the acquired land into two blocks, i.e., A and B.	Facts
For the land falling in Block A, i.e., land situated 500 yards from National Highway 8, the Reference Court determined the compensation at the rate of Rs.6,51,994.13 per acre.	Facts
For the remaining land categorized as Block B, market value was fixed at the rate of Rs.3,91,196.97 per acre.	Facts
For the acquisition made vide notification dated 15.11.1994, the Land Acquisition Collector passed award dated 3.4.1997 and fixed market value at the rate of Rs.4,13,600 per acre.	Facts
The Reference Court fixed market value of the acquired land by dividing the same into two blocks.	Facts
Block A comprised of the land falling within 500 yards of National Highway 8 and market value thereof was fixed at Rs.6,89,333.	Facts
The remaining land was included in Block B and market value thereof was not increased.	Facts
The appeals filed by the landowners in relation to the first acquisition were disposed of by the learned Single Judge of the Punjab and Haryana High Court vide judgment dated 5.9.2008 and the amount of compensation was determined at the rate of Rs.12,00,000 per acre.	Facts
The appeals filed by the landowners covered by notification dated 15.11.1994 were disposed of by the learned Single Judge by enhancing the amount of compensation to Rs.15,00,000 per acre for the entire acquired land.	Facts
The appeals arising out of the special leave petitions filed by HSIIDC and the landowners against the judgments of the High Court were disposed of by this Court vide judgment dated 17.08.2010 titled Haryana State Industrial Development Corporation vs. Pran Sukh and others (supra) and the amount of compensation payable to the landowners was enhanced to Rs.20,00,000 per acre for the entire acquired land with a stipulation that they shall be entitled to all statutory benefits.	Facts
Paragraphs 22 to 26 of that judgment, which contain the reasons for granting enhanced compensation to the landowners, are reproduced below In our view, the learned Single Judge did not commit any error by relying upon sale transaction, Ext. P1 for the purpose of fixing market value of the acquired land.	None
Undisputedly, that sale transaction was between two corporate entities and the entire sale price was paid through bank drafts.	Facts
It is also not in dispute that the land which was subjectmatter of Ext.	None
P1 is situated at Village Naharpur Kasan and is adjacent to the acquired land.	None
The Corporation and the State Government did not adduce any evidence to prove that the land sold vide Ext.	None
P1 was overvalued with an oblique motive of helping the landowners to claim higher compensation.	None
Therefore, we do not find any justification to discard or ignore sale deed, Ext. P1.	None
The refusal of the learned Single Judge to rely upon other sale transactions in which sale price of the land was shown as Rs. 7 lakhs per acre also does not suffer from any legal infirmity because it is well known that transactions involving transfer of properties are usually undervalued with a view to avoid payment of the requisite stamp duty and registration charges.	Facts
However, we agree with the learned counsel for the landowners that the High Court should not have imposed cut of 1/4th in one batch of appeals and 20 cut in the other batch of appeals qua the average sale price reflected by Ext. P1 only on the ground that the area of the land acquired by the State Government was too large as compared to 12 acres of land for which sale deed, Ext. P1 was executed.	Facts
In a matter like the present one, it cannot be ignored that the land was acquired for setting up an industrial model township at Manesar and after developing the land, the Corporation was bound to sell the plots at a much higher price to the existing or prospective industrial entrepreneurs.	Facts
In this scenario, the learned Single Judges committed an error by applying 1/4th or 20 cut on market value determined for the purpose of payment of compensation to the landowners.	Facts
This approach is in consonance with the law laid down in Subh Ram v. State of Haryana (2010) 1 SCC 444 , the relevant portions of which are extracted below Therefore, when deduction is made from the value of a small residential plot towards the development cost, to arrive at the value of a large tract of agricultural or undeveloped land with development potential, the deduction has nothing to do with the purpose for which the land is acquired.	Facts
The deduction is with reference to the price of the small residential plot, to work back the value of the large tract of undeveloped land.	Facts
On the other hand, where the value of acquired agricultural land is determined with reference to the sale price of a neighbouring agricultural land, no deduction need be made towards development cost.	Facts
It is no doubt true that this Court in some decisions has observed that purpose of acquisition will also be relevant.	Facts
But it is made in a different context.	Facts
The Land Acquisition Collectors in some cases adopt belting methods for valuation of land, with reference to a focal point, that is, either with reference to the distance from the main road, or distance from a developed area.	Facts
Lands that adjoin a developed area or a main road are given a higher value than a land farther away from the road or the developed area.	Facts
The Land Acquisition Collectors also award different compensation depending upon whether the acquired land is a dry land or wet irrigated land.	Facts
When different categories of lands (or lands with different situational advantages) are acquired for the same purpose, say for forming of a residential layout, courts have sometimes felt that determination of their value with reference to previous status or situation should be avoided and a uniform rate of compensation should be awarded for all lands acquired under the same notification.	Facts
For the reasons stated above, the appeals filed by the Corporation are dismissed and those filed by the landowners are allowed with the direction that the Corporation shall pay market value of the entire acquired land at the rate of Rs. 20 lakhs per acre with all statutory benefits.	Facts
The first batch of the review petitions filed by HSIIDC was dismissed by detailed order dated 2.7.2012 titled Haryana State Industrial Development Corporation Limited v. Mawasi (2012) 7 SCC 200.	None
The second batch of the review petitions was dismissed vide order dated 13.1.2011 titled Haryana State Industrial Development Corporation Limited v. Pran Sukh and others (2012) 7 SCC 721.	None
While dismissing the first batch of review petitions, the Court took cognizance of the following averments contained in the reply affidavits filed on behalf of the landowners Paras4 to 9 of the reply affidavit filed in Review Petition No. 239 of 2011.	None
I state that vide five sale deeds all dated 671992 land measuring 49 kanals 2 marlas situated in Village Kherka Daula, District Gurgaon was sold by some of the coowners to one Shri D.C. Rastogi, s o Shri L.P. Rastogi at the sale price of Rs 1,35,000 per acre.	None
The said village is at a distance of about 2 km from the land in question.	None
Copies of five sale deeds all dated 671992 are collectively Annexure R1 hereto.	None
Thereafter the vendee Shri D.C.	None
Rastogi sold the said land in terms of agreement to sell dated 6121993 vide sale deed dated 1631994 at the rate of about Rs 15,73,289 per acre.	None
This shows that there was a jump in the price of the land in that area equal to almost 11 times of the original price.	None
It is also common knowledge that the parties often undervalue the land price in order to minimise stamp duty and the land might have been sold at a higher price.	None
Copy of sale deed dated 1631994 is Annexure R2 hereto.	None
Thus if M s Heritage Furniture (P) Ltd. purchased land, which is the subjectmatter of sale deed dated 1691994, Ext. P1, in the year 1993 at a price of about Rs 6 lakhs per acre as alleged by the review petitioner even though there is no evidence of purchase at such rate then its value increasing to Rs 20 lakhs per acre in the year 1994 is commensurate with the market trend.	None
Moreover agreement to sell dated 315 1994 was executed after first notification was issued under Section 4 on 3041994 and it is a common knowledge that after publication of Section 4 notification, the value of the land increases.	None
It is further submitted that vide sale deed dated 14121993 (Ext. P10)	None
