 	Issue
S. Singhvi, J.1.	None
This appeal is directed against judgment dated 18.5.2001 of the Division Bench of the Delhi High Court whereby the first appeal preferred by the appellants against the judgment of the learned Single Judge, who declined to nullify the acquisition of their land was dismissed.	Issue
Rai Sahib Kedar Nath, who retired as District Judge from the Punjab Judicial Service started three schools in Kucha Ghasi Ram, Chandni Chowk, Bazar Sita Ram and Daryaganj, Delhi between 1912 and 1916 in the memory of his father, Lala Ramjas Mal.	Facts
He purchased land measuring about 1800 bighas in villages Chowkri Mubarikabad and Sadhora Khurd, which now form part of NCR Delhi from his own resources and by collecting money in the form of donations from other philanthropists.	Facts
In a public function held on 25.12.1916 in Ramjas School, Kucha Ghasi Ram, Chandni Chowk, Rai Sahib Kedar Nath is said to have made an announcement that he had created a Wakf and dedicated and donated all his movable and immovable properties including the land in villages Chowkri Mubarikabad and Sadhora Khurd to the said school for charitable purposes, namely, advancement and promotion of education to the public and poor students.	Facts
In 1917, he formed Ramjas College Society and got the same registered under the Societies Registration Act, 1860 as a charitable institution.	Facts
The objects of the Society were as under To provide school and university education for boys and girls.(ii)To maintain schools, colleges, boarding houses and training institutes for training of teachers.(iii)To provide means for imparting technical and industrial education in connection with the institutions under the control of foundation.(iv)To provide means for imparting a sound moral and catholic religious education free from superstitious and controversial matters and based on the Vedas and ancient Shastras.(v)To encourage and take part in Scientific Research of various kinds as well as in the study translation and publication of the Sanskrit literature and philosophy of ancient India.(vi)To amalgamate with the foundation any other societies having objects similar to those or any of these of the Foundation.(vii)To give loans to the institutions aided, run managed by or under the control of the Foundation and for the benefits of the students studying in the said institutions, aid, grants, donations, subscribe to Government and or semi Government relief funds, award scholarships, fellowships, stipends of any kind as also to take accept donations, gifts and charities, etc.	Facts
After some time, Rai Sahib Kedar Nath formed a Managing Committee of which he was the President.	Facts
On 25.6.1936, he transferred the entire land to the Society by executing a release deed.	Facts
In 1967, the name of the Society was changed from Ramjas College Society to Ramjas Foundation and the same was registered as such.4.	Facts
By notification dated 13.11.1959 issued under Section 4 of the Land Acquisition Act, 1894 (for short, the Act), the Chief Commissioner of Delhi proposed acquisition of 34070 acres land including 872 bighas and 17 biswas land of appellant No. 1 situated at Chowkri Mubarikabad and 730 bighas land situated at Sadhora Khurd for planned development of Delhi excluding the following categories of land Government land and evacuee land(b)the land already notified under Section 6 of the Land Acquisition Act for any Government Scheme(c)the land already notified either under Section 4 or 6 of the Land Acquisition Act, for House Building Cooperative Societies mentioned in Annexure III(d)the land under graveyards, tombs, shrines and the land attached to religious institutions and Wakf property.	Facts
The objections filed on behalf of appellant No. 1 under Section 5A of the Act through Mr. Ratan Lal Gupta, Advocate were rejected by the competent authority.	Facts
Thereafter, three different notifications were issued under Section 6 of the Act.6.	Facts
The acquisition of landvide notification dated 13.11.1959 was challenged in large number of petitions filed in Delhi High Court which were dismissed.	Facts
The appeals filed against the orders of the Delhi High Court were dismissed by this Court in Aflatoon v. Lt. Governor of Delhi, (1975) 4 SCC 285 and Lila Ram v. Union of India, (1975) 2 SCC 547.	Facts
7. Appellant No.1 also filed several cases in the Delhi High Court and this Court questioning the acquisition of its land and consequential actions taken by the respondents.	Facts
The particulars of the cases filed by appellant No. 1 and their result are detailed belowChowkri	Facts
Mubarikabad(i)The first writ petition bearing No. 409/1968 was filed by appellant No. 1 in the Delhi High Court for quashing notifications dated 13.11.1959 and 28.2.1968 issued under Sections 4 and 6 of the Act respectively mainly on the ground that its land is exempted from acquisition in terms of Clause (d) of notification dated 13.11.1959 because it was a Wakf property.	Facts
This assertion was contested by the respondents.	Facts
They pleaded that the property in dispute is neither a Wakf nor it can be treated as Wakf because it had not been created by a Muslim.	Facts
The learned Single Judge was of the view that the adjudication of the writ petition would need determination of complicated questions of fact and such questions cannot be decided under Article 226 of the Constitution.	Facts
Thereupon, the Counsel appearing on behalf of appellant No. 1 sought leave of the Court to withdraw the writ petition with liberty to file a civil suit.	Facts
His prayer was granted by the Court.(ii)Immediately after disposal of the writ petition, appellant No.1 filed Suit No. 451/1971 with the following substantive prayer A decree for declaration be passed in favour of the plaintiffs and against the defendants to the effect that since the plaintiffs society is a charitable education institution and the land in dispute is a wakf property or in the nature of wakf property, the same is exempt from the purview of notification under Section 4 of the Land Acquisition Act by virtue of Clause (d) of para 2 of the Notification No. F.15(iii)/59L.S.G	Facts
dated 13.11.1959 and the impugned notifications, acquisition notices and the proceedings consequent thereon are void abinitio, without jurisdiction, discriminatory, arbitrary, vague, indefinite, ultra vires, against the principles of natural justice and the provisions of the Land Acquisition Act and are liable to be set aside and cancelled.	None
After detailed consideration of the pleadings and documents produced by the parties, the learned Single Judge dismissed the suit.	None
Appellant No. 2  Shri Ram Kanwar Gupta joined appellant No. 1 in filing appeal against the judgment of the learned Single Judge, which was dismissed by the Division Bench of the High Courtvide judgment dated 18.5.2001.	Facts
Thereafter, notification under Section 17 of the Act was issued on 23.7.2001 and possession of the land was taken by the Land Acquisition Collector and handed over to the Delhi Development Authority.	Facts
Sadhora Khurd(i)W.P. No. 213/1973 filed by appellant No.1 challenging the acquisition of land situated at Sadhora Khurd was dismissed by the learned Single Judge as withdrawn.(ii)After 5 years, appellant No. 1 filed CWP No. 106/1978 for quashing the notifications issued under Sections 4 and 6 and notices issued under Sections 9 and 10 of the Act.	Facts
The same was dismissed by the Division Bench of the High Courtvide its order dated 31.1.1978.(iii)Civil Appeal No. 2213 of 1978 filed by appellant No. 1 against the order of the Division Bench was dismissed by this Court on 13.11.1972 on the ground of delay and blameworthy conduct of appellant No. 1Ramjas Foundation v. Union of India, (1993) 2 SCC (Suppl.)	Facts
20.(iv)After dismissal of the civil appeal, the Land Acquisition Collector passed Award No. 10/9495 dated 7.6.1994 and supplementary Award Nos.10A/9495, 10B/9495, 10C/9495 and 10D/9495 all dated 11.11.1994 in respect of 718 bighas 14 biswas land situated at Sadhora Khurd and took possession of 676 bighas and 8 biswas of land.(v)Appellant No. 1 challenged the awards in CWP No. 4343/1997 and prayed for quashing the action of the respondents to take possession of the acquired land.	Facts
It further prayed for issue of a mandamus to respondents to release land by issuing notification under Section 48 of the Act.	Facts
Appellant No. 1 filed another writ petition (CWP No. 5493/1999) for grant of a declaration that land situated in village Sadhora Khurd continues to be in its possession.	Facts
By an order dated 26.4.2000, the Division Bench of the High Court dismissed CWP No. 4343/1997 but gave a direction to the Lt. Governor to pass appropriate order on the application made by appellant No. 1 for denotification of the acquired land.	Facts
Similar order appears to have been passed in CWP No. 5493/1999.(vi)In the meanwhile, Bhagwan Dass filed CWP No. 1811/1995 by way of public interest litigation and prayed for issue of a mandamus to the respondents to take possession of 730 bighas of land and use the same as per the plan of Zone B5.	None
