 	Issue
These appeals are directed against the judgment and order passed by the High Court of Judicature for Rajasthan at Jodhpur in D.B. Criminal Murder Reference No.02 of 2013 and D.B. Criminal Jail Appeal No. 293 of 2013, dated 09.04.2014.	Issue
By the impugned judgment and order, the High Court has confirmed the judgment of conviction and order of sentence passed by the learned Special Judge, Scheduled Caste Scheduled Tribes (Prevention of Atrocities) Act Cases, Sriganganagar in Original Sessions Case	Issue
No. 53 of 2012, dated 07.03.2013, whereby the learned Special Judge has convicted the appellantaccused for offence under Sections 363, 364, 376(2)(f), 302 and 201 of the Indian Penal Code, 1860 (for short the IPC) and awarded death sentence.	Issue
Facts The Prosecution case in a nutshell is On 04.05.2012, at 0100 PM, one Devilal Meghwal(PW1), a member of the Scheduled Caste, had submitted a written report to the Station House Officer, Police Station Lalgarh Jatan stating that on 03.05.2012, at about 830 AM, his granddaughter (referred to as the deceased hereinafter), aged four years, had gone missing while she was on her way back home from his younger brother Kashirams (PW5) residence in the neighbourhood.	None
He had stated that in spite of an intense search in entire village, her whereabouts could not be traced.	Facts
The following day, on 04.05.2012, at about 1000 AM, in the course of his search alongwith other members of the village, it was noticed that Jumman Khan, son of the appellantaccused, was burying something in a pit in the courtyard of his residence.	Facts
On being questioned, Jumman Khan had failed to provide any satisfactory answer to his activity.	Facts
Thus, dissatisfied by his suspicious response, PW1 as well as other villagers had dug the said spot, whereat they discovered the dead body of the deceased.	Facts
Thereafter, on further questioning, Jumman Khan disclosed that his father, the appellantaccused, had lured the deceased into his house by offering her berries and then prompted him to commit rape on her and subsequently, himself raped her.	Facts
He further divulged that since, the deceaseds physical condition was deteriorating, they killed her and concealed her dead body in the courtyard of their house.	Facts
On the basis of the said written report, a case was registered as FIR No. 86 of 2012 against the appellantaccused and Jumman Khan for the offence punishable under Sections 363, 364, 376(2)(f), 302, 201 and 34 of the IPC and Sections 3(2)(v) and 3(2)(vi) of the Scheduled Castes and Scheduled Tribe (Prevention of Atrocities) Act, 1989 (for short, the Act).	Facts
Thereafter, the investigating agency prepared an inquest report and recovered certain articles from the spot.	Facts
The dead body of the deceased was sent for postmortem.	None
The postmortem report disclosed the cause of death as extensive injuries at neck and other vital parts of the body and recorded medical conditions of having been raped before death.	None
During the course of investigation, the appellantaccused and Jumman Khan were arrested.	Facts
The investigating agency recovered the weapon of offencean iron spade, blood stained shirt of the appellantaccused, blood stained clothes of the deceased and other articles at the instance of the appellantaccused.	Facts
The said articles were sealed and thereafter, sent to the Forensic Science Laboratory (for short, FSL) for their serological and chemical examination.	Facts
The FSL Report recorded that the blood stains on the clothes of the deceased, the weapon of offence and the clothes of the appellantaccused matched the deceaseds blood samples.	Facts
After completion of the investigation, a police report was filed before the competent court and the case was committed to the Court of learned Special Judge, Scheduled Caste Scheduled Tribes (Prevention of Atrocities) Act Cases, Sriganganagar.	Facts
The Trial Court had framed charges against the appellantaccused and Jumman Khan for commission of the offence punishable under Sections 363, 364, 376(2)(f), 302 and 201 of the IPC and Sections 3(2)(v) and 3(2)(vi) of the Act.	Facts
The appellantaccused and Jumman Khan had denied the aforesaid charges and thus, the case was committed to trial.	Facts
It is relevant to notice that since the coaccused, Jumman Khan was a juvenile at the time of commission of the offence, his case was separated and referred to the Juvenile Justice Board for further proceedings.	Facts
During the Trial, the prosecution examined 15 witnesses and produced 58 documents and 9 articles.	None
PW1 has maintained the version stated by him in the police report.	None
One Indraj (PW6) has deposed that on the fateful day, he had come to the house of PW5 when the deceased was leaving for PW1s house which is situated at the short distance of about a bigha.	None
He further stated that he saw the appellantaccused offering berries to the deceased and thereafter, carrying her in his lap.	Facts
During crossexamination, he has stated that such instance of the appellantaccused offering berries and carrying the deceased was not objected to by him as it was a casual instance in the daily village life.	Facts
The other prosecution witnesses viz, one Devilal, son of Balram, (PW2)	None
Shri Om Prakash (PW4), and PW5 are the neighbours of both the appellantaccused and PW1, who were also searching for the deceased.	None
These witnesses were present during the extrajudicial confession made by Jumman Khan and have corroborated the version of PW1 as stated in the police report.	Facts
Further, Dr. Prem Bajaj (PW3), in his evidence, has explained the cause of death and injuries on the body of the deceased and corroborated the observations recorded in the postmortem report.	Facts
Upon meticulous consideration of the evidence on record and the submissions made by the parties, the Trial Court has concluded that the testimonies of PW1, PW6, PW2, PW4 and PW5 are true and reliable and that the same alongwith the evidence of PW3, the medical report and the FSL report support the case of the prosecution.	Facts
The Trial Court has noticed that the entire evidence relied upon by the prosecution is circumstantial and establishes their case on the basis of recoveries at the instance of appellantaccused, extrajudicial confession of coaccused, Jumman Khan, and evidence of PW1 and PW6.	Facts
The Trial Court has recorded that the evidence of PW6, which states that the deceased was last seen in the company of appellantaccused, coupled with the lack of explanation for the same by the appellantaccused in his 313 statement provide a link in the chain of circumstances.	Facts
Further, that the recoveries made at the instance of the appellantaccused, including bloodstained shirt, clothes of the deceased and the weapon of murder alongwith the medical evidence, testimony of PW3 and the recovery of her dead body in the courtyard of the appellantaccuseds house clearly establish the factum of commission of rape and murder of the deceased by the appellantaccused.	Facts
The Trial Court, in light of the aforesaid, has concluded that the chain of circumstances, in the backdrop of the extrajudicial confession made by Jumman Khan, evince beyond any reasonable doubt that the appellantaccused has committed the aforementioned offence under the IPC.	Facts
Therefore, the Trial Court convicted the appellantaccused of the offence punishable under Sections 363, 364, 376(2)(f), 302 and 201 of the IPC.	Facts
Since the charges framed under Sections 3(2)(v) and 3(2)(vi) of the Act against the appellantaccused were not proved, he was acquitted of the same.	Facts
Further, after affording an opportunity of hearing to the appellantaccused on the question of quantum of punishment, the Trial Court has sentenced him to undergo imprisonment for life for the offence punishable under Section 364 of the IPC, rigorous imprisonment for seven years for the offence punishable under Section 363 of the IPC, life imprisonment for the offence punishable under Section 376(2)(f) of the IPC, rigorous imprisonment for seven years for the offence punishable under Section 201 of the IPC and awarded death sentence for the offence punishable under Section 302 of the IPC.	Facts
The Trial Court, in its order of sentence, has noticed that the appellantaccused, who is a tantrik residing in the neighbourhood of the deceaseds family and other witnesses was vested with certain trust by the members of the community and was not expected to commit acts of such depravity.	Facts
Further, that the manner of commission of crime and age of the victim clearly indicate that the only punishment proportionate to the brutality exhibited by the appellantaccused would be the death penalty and relied upon the deterrent theory of punishment to classify the case as rarest of the rare.	Facts
Aggrieved by the aforesaid judgment and order, the appellantaccused filed appeals before the High Court which was heard alongwith the Death Reference under Section 366 Code of Criminal Procedure, 1973 and disposed of by a common judgment and order, dated 09.04.2014.	Facts
The High Court has elaborately dealt with the evidence on record and extensively discussed the judgment and order of the Trial Court in order to ascertain the correctness or otherwise of the conviction and sentence awarded to the appellantaccused persons.	Facts
The High Court has carefully examined the evidence on record including testimonies of the Prosecution Witnesses and recorded the finding that the said statements do not reflect any discrepancy of facts and therefore, considered them as cogent and credible evidence.	Facts
Further, that the medical evidence clearly indicates the commission of rape and the murder of the deceased.	Facts
The High Court records that the recovery of weapon of murder has also been established beyond any shadow of doubt and that the appellantaccused has not suggested any explanation for recovery of dead body of the deceased,	Facts
the blood stained weapon of offence and the blood stained clothes from his house.	Facts
The High Court has concluded that chain of circumstantial evidence, being complete and established beyond any reasonable doubt, in all certainty points towards the guilt of appellantaccused and therefore, confirmed the judgment of conviction passed by the Trial Court.	Facts
The High Court, in respect of the quantum of sentence, has noticed that the heinous act of rape and murder committed by the appellantaccused obliterates any chance of his reformation and assigned the following reasons, in addition to the reasons recorded by the Trial Court, for affirming the death sentence of the appellantaccused Here the accused, a middle aged man of 48 years, residing in neighbourhood of the victim, working as Tantrik, kidnapped the girl and committed inhuman rape and then killed her.	Facts
He also got involved his son in this crime.	Facts
His entire act is a serious scar on human values.	Facts
He has broken the faith of the neighbours, the faith in humanity and further he also acted against the values to nurture the relations of father and son.	Facts
The accused committed murder when he was committing the serious offence of rape.	Facts
The entire crime was committed outrageously while involving inhuman treatment and torture to the victim.	Facts
The victim was a helpless child residing in neighbourhood of the accused.	Facts
He was a person who could have been trusted being a neighbour, but he acted adversely.	Facts
The heinous crime is committed without any provocation and with complete cold blooded planning.	Facts
The brutality on the part of accused not only pricks the judicial consciences but even conscience of the society.	Facts
The facts available are sufficient to satisfy ourselves that no other punishment except death penalty would be adequate in present set of circumstances.	None
The appellantaccused, aggrieved by the aforesaid confirmation of death sentence awarded to him, is before us in these appeals.	None
We have heard learned amicus appearing for the appellantaccused and learned counsel appearing for the respondentState.	None
At the outset, it is pertinent to notice that learned amicus would not press the challenge to the judgment of conviction, dated 07.03.2012, passed by the Trial Court and confirmed by the High Court, and would limit her case to the question of determination of quantum of sentence awarded by the Courts below and seek for commutation of the said sentence.	None
Learned amicus would submit that the conviction of the appellantaccused is entirely based on circumstantial evidence and therefore, the death sentence ought not have been awarded by the Trial Court and confirmed by the High Court.	Arguments of Petitioner
