 	Reasoning
Venkatarama Reddi, J. By the impugned judgment, the High Court at Allahabad allowed the first appeal filed by the respondentplaintiff, decreed the suit and ordered that the plaintiff should be put in physical possession of the suit properties and the indenture (sale deed) dated 22.2.1971 should be deemed to be void and cancelled and therefore be delivered up to the plaintiffvendor.	Issue
A decree was also granted for a sum of Rs. 95,000/ being the value of properties wrongfully demolished and sold, after adjustment of Rs. 55,000/ received by the plaintiff, towards the sale consideration.	Issue
The suit was ostensibly filed under Section 31 of the Specific Relief Act for cancellation of indenture dated 22.2.1971 and also for physical possession of the property in dispute and for recovery of Rs. 95,000/ being the value of property wrongfully demolished after adjusting an amount of Rs.	Issue
55,000/.	Issue
The Trial Court dismissed the suit.	Issue
At the same time, it granted a decree in favour of the plaintiff for a sum of Rs. 1,45,000/ representing the balance sale consideration.2.	Issue
The facts giving rise to the suit and the appeal are these The plaintiffCompany executed a sale deed on 22.2.1971 in favour of the defendants in respect of an oil mill located at Khurja in UP State with the structures, open land, machinery and fixtures, leasehold rights in the land etc. for a consideration of Rs. 2 lakhs.	Issue
A sum of Rs.	Issue
50,000/ was to be paid before the SubRegistrar at the time of registration and it was stipulated in the sale deed that the balance amount will be paid in two instalments falling on 15.3.1971 and 30.4.1971.	Issue
It was further stipulated that the transferee shall not be entitled to deal with, sell, transfer or assign the property sold, till such time as the entire balance sale price of Rs. 1.50 lakhs was paid to the transferor.	Issue
A sum of Rs. 50,000/ was accordingly paid to transferor on the date of registration.	Issue
Possession was admittedly handed over to the defendants.	Issue
The respondentplaintiff produced the income tax clearance certificate on the date of registration i.e. 22.2.1971.	Issue
However, before the formalities of registration viz., copying out the deed was completed, the SubRegistrar received a communication from the Income Tax Officer that the I.T.C. was cancelled and therefore the SubRegistrar should stop registration of the property till a fresh certificate was issued by him.	Issue
Therefore, the SubRegistrar did not take further steps in the matter.	Issue
Moreover, the sale deed was impounded on the ground of insufficient stamp and it was sent to the District Registrar for adjudication.	Issue
By an order dated 4.1.1972, the Income Tax Officer revoked his earlier order and restored the certificate issued by him earlier.	Facts
On appeal by plaintiff, the Commissioner of Income Tax directed the Income Tax Officer to issue a fresh I.T.C. instead of validating the earlier one.	Facts
On 13.6.1972, a fresh I.T.C. was issued.	Issue
The document which was sent for assessment of deficient stamp duty was received back by the Sub Registrar on 3.5.1973.	Facts
When there was a notice from the Sub Registrar in August 1973 to furnish the I.T.C. for the purpose of registration, the plaintiff in its reply	Issue
dt. 28.8.1973 maintained that the document was no longer effective as the contract stood rescinded on account of the breach committed by the defendants in declining payment of balance sale price.	Issue
SubRegistrar was requested to return the document without registration.	Issue
The SubRegistrar, by his order dated 19.9.1973, refused to register the document as ITC was not produced.	Issue
An appeal was filed against the said order by the appellantsdefendants before the District Registrar.	Issue
On 16.10.1973 the appellants also filed a civil suit impleading the respondent, SubRegistrar and also the I.T.O. for a direction that I.T.C. should be issued and the SubRegistrar should register the sale deed.	Issue
On 3.7.1976, the suit out of which the present appeal arises was filed seeking the relieves as stated above.	Issue
In that suit, a disclosure was made as to obtaining the fresh I.T.C. On 24.12.1976, the District Registrar allowed the appeal and directed the SubRegistrar to register the sale deed.	Facts
In view of this subsequent event, the Income Tax Officer also sent a copy of I.T. clearance certificate to the SubRegistrar.	Issue
The formalities of registration of sale deed were then completed on 28.12.1976.	Issue
The suit filed by the appellants therefore became infructuous.	Issue
The appellants amended the plaint in the present suit questioning the legality of the order of Dy.	Facts
Registrar and the consequential action of SubRegistrar in registering the sale deed.	Issue
On 27.8.1979, offer was made to pay the balance consideration by issuing a notice but the respondent refused to accept payment taking the stand that the matter was subjudice.	Issue
The suit in question was dismissed on 2.5.1980 subject to the direction as to the payment of balance of sale money.	Issue
The money was deposited in court thereafter.	Issue
The first appeal to the High Court filed by the respondent herein was allowed by the impugned judgment dated 5.7.1996.3.	Facts
It is now necessary to advert to certain other events that happened between the date of presentation of sale deed for registration and the date of filing of the suit including the exchange of correspondence.	Facts
On 16.3.1971, plaintiff issued notice to defendants to pay Rs.	Facts
50,000/ towards the first instalment specified in the indenture of sale.	Facts
The defendants expressed their willingness to pay the amount provided that the plaintiff obtained a fresh ITC.	Facts
On 12.1.1972, a second notice was issued from the plaintiffs side informing the defendants that they have illegally withheld the payment due under the terms of sale for which they were liable to pay interest and further protesting against the demolition of portions of building and sheds and disposing of the building material and machinery.	Facts
This was replied to by the defendants stating that in the absence of valid Income Tax Clearance Certificate the sale deed could not be delivered after due registration and therefore they were not liable to pay the balance sale price.	Facts
Moreover, the defendants referred to the fact that one of the Directors of the plaintiffCompany by name Raj Kumar Meattle agreed not to demand the balance unless the fresh clearance certificate was obtained and other formalities connected to the sale were fulfilled.	Facts
The alleged settlement took place on 17.1.1972 on which date a sum of Rs. 5,000 was paid to the said Director.	Facts
One more fact, which according to the defendants justified the withholding of payment, was the suit filed by the one Seth Shanti Lal questioning the validity of the sale.	Facts
In the concluding para it is stated I would request you not to stick to your unreasonable demand for the balance money and let the clear picture emerge.	Facts
I again assure you that the balance will be paid the moment these formalities are complied.	Facts
A third notice was issued by the plaintiff on 25.5.1973.	Facts
By that time it may be noted that a fresh ITC was issued to the plaintiff and the document which was impounded for assessment of deficient duty was received back in the office of the SubRegistrar, Khurja.	Facts
