 	Issue
S. Singhvi, J. Leave granted.	None
These appeals are directed against order dated 2.7.2009 by which the Division Bench of the Delhi High Court allowed the writ petition filed by NAZ Foundation respondent No.1 herein, by way of Public Interest Litigation (PIL) challenging the constitutional validity of Section 377 of the Indian Penal Code, 1860 (IPC) in the following terms We declare that Section 377 IPC, insofar it criminalises consensual sexual acts of adults in private, is violative of Articles 21, 14 and 15 of the Constitution.	Issue
The provisions of Section 377 IPC will continue to govern nonconsensual penile nonvaginal sex and penile nonvaginal sex involving minors.	None
By adult we mean everyone who is 18 years of age and above.	None
A person below 18 would be presumed not to be able to consent to a sexual act.	None
This clarification will hold till, of course, Parliament chooses to amend the law to effectuate the recommendation of the Law Commission of India in its 172nd Report which we believe removes a great deal of confusion.	None
Secondly, we clarify that our judgment will not result in the reopening of criminal cases involving Section 377 IPC that have already attained finality.	None
The Background facts Respondent No.1 is a NonGovernmental Organisation (NGO) registered under the Societies Registration Act, 1860 which works in the field of HIV AIDS intervention and prevention.	Facts
Its work has focussed on targeting men who have sex with men (MSM) or homosexuals or gays in consonance with the integrationist policy.	Facts
Alleging that its efforts have been severely impaired by the discriminatory attitudes exhibited by State authorities towards sexual minorities, MSM, lesbians and transgender individuals and that unless self respect and dignity is restored to these sexual minorities by doing away with discriminatory laws such as Section 377 IPC it will not be possible to prevent HIV AIDS, NAZ Foundation filed WP(C) No. 7455/2001 before the Delhi High Court impleading the Government of NCT of Delhi Commissioner of Police, Delhi Delhi State Aids Control Society National Aids Control Organisation (NACO) and Union of India through Ministry of Home Affairs and Ministry of Health Family Welfare and prayed for grant of a declaration that Section 377 IPC to the extent it is applicable to and penalises sexual acts in private between consenting adults is violative of Articles 14, 15, 19(1)(a)(d) and 21 of the Constitution.	Facts
Respondent No.1 further prayed for grant of a permanent injunction restraining Government of NCT of Delhi and Commissioner of Police, Delhi from enforcing the provisions of Section 377 IPC in respect of sexual acts in private between consenting adults.(ii)	Facts
Respondent No.1 pleaded that the thrust of Section 377 IPC is to penalise sexual acts which are against the order of nature that the provision is based on traditional JudeoChristian moral and ethical standards and is being used to legitimise discrimination against sexual minorities that Section 377 IPC does not enjoy justification in contemporary Indian society and that the sections historic and moral underpinning do not resonate with the historically held values in Indian society concerning sexual relations.	Facts
Respondent No.1 relied upon 172nd Report of the Law Commission which had recommended deletion of Section 377 and pleaded that notwithstanding the recent prosecutorial use of Section 377 IPC, the same is detrimental to peoples lives and an impediment to public health due to its direct impact on the lives of homosexuals that the section serves as a weapon for police abuse in the form of detention, questioning, extortion, harassment, forced sex, payment of hush money that the section perpetuates negative and discriminatory beliefs towards same sex relations and sexual minorities in general and that as a result of that it drives gay men and MSM and sexual minorities generally underground which cripples HIV AIDS prevention methods.	Facts
According to respondent No.1, Section 377 is used predominantly against homosexual conduct as it criminalises activity practiced more often by men or women who are homosexually active.	Facts
The evidence that refutes the assumption that non procreative sexual acts are unnatural includes socioscientific and anthropological evidence and also the natural presence of homosexuality in society at large.(iii) That private, consensual sexual relations are protected under the right to liberty under Article 21 under the privacy and dignity claim.	Facts
It was further pleaded that Section 377 IPC is not a valid law because there exists no compelling State interest to justify the curtailment of an important fundamental freedom that Section 377	Facts
IPC insofar as it criminalises consensual, nonprocreative sexual relations is unreasonable and arbitrary and therefore violative of Article 14.(iv)	Facts
Another plea taken by respondent No.1 was that Section 377 creates a classification between natural (penilevaginal) and unnatural (penilenonvaginal) penetrative sexual acts.	Facts
The legislative objective of penalising unnatural acts has no rational nexus with the classification between natural (procreative) and unnatural (nonprocreative) sexual acts and is thus violative of Article 14.4.	Facts
By an order dated 2.9.2004, the Division Bench of the High Court dismissed the writ petition by observing that no cause of action has accrued to respondent No.1 and purely academic issues cannot be examined by the Court.	Facts
The review petition filed by respondent No.1 was also dismissed by the High Court vide order dated 3.11.2004.5.	Facts
Respondent No.1 challenged both the orders in SLP (C) Nos. 72177218/2005, which were converted to Civil Appeal No. 952/2006.	Facts
This Court allowed the appeal vide order dated 3.2.2006 and remitted the writ petition for fresh decision by the High Court.	Facts
The relevant portions of that order are reproduced below The challenge in the writ petition before the High Court was to the constitutional validity of Section 377 of the Indian Penal Code, 1860.	Facts
The High Court, without examining that issue, dismissed the writ petition by the impugned order observing that there is no case of action in favour of the appellant as the petition cannot be filed to test the validity of the Legislation and, therefore, it cannot be entertained to examine the academic challenge to the constitutionality of the provision.	Facts
The learned Additional Solicitor General, if we may say so, rightly submits that the matter requires examination and is not of a nature which ought to have been dismissed on the ground aforestated.	Facts
We may, however, note that the appeal is being strenuously opposed by Respondent No.6.	Facts
We are, however, not examining the issue on merits but are of the view that the matter does require consideration and is not of a nature which could have been dismissed on the ground afore stated.	Facts
In this view, we set aside the impugned judgment and order of the High Court and remit Writ Petition (C) No.7455 of 2001 for its fresh decision by the High Court.	Facts
NACO and the Health Ministry had filed counter in the form of an affidavit of Shri M.L. Soni, Under Secretary to the Government of India, Ministry of Health Family Welfare, National AIDS Control Organisation.	Facts
He outlined the strategy adopted by NACO for prevention and control of HIV AIDS in India which includes identification of high risk groups and the provision of necessary tools and information for protection and medical care.	Facts
The deponent averred that National Sentinel Surveillance Data 2005 estimated that HIV prevalence in men who have sex with men (MSM) is 8 while in general population it is lesser than 1.	Facts
The MSM population is estimated at 25 lacs as of January 2006.	Facts
Shri Soni also stated that NACO has developed programmes for undertaking targeted interventions among MSM population and that for prevention of HIV AIDS there is a need for an enabling environment where people indulging in risky behaviour may be encouraged not to conceal information so that they are provided with access to NACO services.7.	Facts
On behalf of the Ministry of Home Affairs, Government of India, Shri Venu Gopal, Director (Judicial) filed an affidavit and pleaded that Section 377 does not suffer from any constitutional infirmity.	Facts
Shri Venu Gopal further pleaded that an unlawful act cannot be rendered legitimate because the person to whose detriment it acts consents to it that Section 377 has been applied only on complaint of a victim and there are no instances of arbitrary use or application in situations where the terms of the section do not naturally extend to Section 377 IPC that Section 377 IPC is not violative of Articles 14 and 21 of the Constitution.	Facts
According to Shri Venu Gopal, Section 377 IPC provides a punishment for unnatural sexual offences, carnal intercourse against the order of nature and does not make any distinction between procreative and nonprocreative sex.8.	Facts
Joint Action Council Kannur and Shri B.P. Singhal, who were allowed to act as interveners, opposed the prayer made in the writ petition and supported the stand taken by the Government.	Facts
Another intervener, i.e., Voices Against 377, supported the prayer of respondent No.1 that Section 377 should be struck down on the ground of unconstitutionality.9.	Facts
The Division Bench of the High Court extensively considered the contentions of the parties and declared that Section 377, insofar as it criminalises consensual sexual acts of adults in private is violative of Articles 21, 14 and 15 of the Constitution.	Facts
While dealing with the question relating to violation of Article 21, the High Court outlined the enlarged scope of the right to life and liberty which also includes right to protection of ones dignity, autonomy and privacy, the Division Bench referred to Indian and foreign judgements, the literature and international understanding (Yogyakarta Principles) relating to sexuality as a form of identity and the global trends in the protection of privacy and dignity rights of homosexuals and held The sphere of privacy allows persons to develop human relations without interference from the outside community or from the State.	Facts
The exercise of autonomy enables an individual to attain fulfilment, grow in selfesteem, build relationships of his or her choice and fulfil all legitimate goals that he or she may set.	Facts
In the Indian Constitution, the right to live with dignity and the right of privacy both are recognised as dimensions of Article 21.	Facts
Section 377 IPC denies a persons dignity and criminalises his or her core identity solely on account of his or her sexuality and thus violates Article 21 of the Constitution.	Facts
As it stands, Section 377 IPC denies a gay person a right to full personhood which is implicit in notion of life under Article 21 of the Constitution.	Facts
The criminalisation of homosexuality condemns in perpetuity a sizable section of society and forces them to live their lives in the shadow of harassment, exploitation, humiliation, cruel and degrading treatment at the hands of the law enforcement machinery.	Facts
The Government of India estimates the MSM number at around 25 lacs.	Facts
The number of lesbians and transgender is said to be several lacs as well.	Facts
This vast majority (borrowing the language of the South African Constitutional Court) is denied moral full citizenship.	None
Section 377 IPC grossly violates their right to privacy and liberty embodied in Article 21 insofar as it criminalises consensual sexual acts between adults in private.	Facts
These fundamental rights had their roots deep in the struggle for independence and, as pointed out by Granville Austin in The Indian Constitution Cornerstone of A Nation, they were included in the Constitution in the hope and expectation that one day the tree of true liberty would bloom in India.	Facts
In the words of Justice V.R. Krishna Iyer these rights are cardinal to a decent human order and protected by constitutional armour.	None
The spirit of Man is at the root of Article 21, absent liberty, other freedoms are frozen.	Facts
A number of documents, affidavits and authoritative reports of independent agencies and even judgments of various courts have been brought on record to demonstrate the widespread abuse of Section 377 IPC for brutalizing MSM and gay community persons, some of them of very recent vintage.	Facts
If the penal clause is not being enforced against homosexuals engaged in consensual acts within privacy, it only implies that this provision is not deemed essential for the protection of morals or public health visavis said section of society.	Facts
The provision, from this perspective, should fail the reasonableness test.	None
