 	Issue
This appeal arises out of the special leave granted by this Court on an application under Article 136 of the Constitution of India against the decision of the Punjab and Haryana High Court in First Appeal from Order No. 7 of 1981 dated March 9, 1981.	Facts
It may be stated here that the appeal was to be heard by the Single Bench of the High Court.	Facts
But in view of the importance of the points raised in a number of similar matters a reference was made before the Division Bench of the High Court and the Division Bench answered the reference in F. A. O. No. 476 of 1978.	Facts
In terms of the decision rendered in the said first appeal, the appeal preferred by the appellant in the High Court namely, F. A. O. No. 7 of 1981 was dismissed in limine by the Division Bench.	Facts
The said F. A. O. No. 7 of 1981 arose out of an adjudication dated December 24, 1979 made by the Regional Director, Employees State Insurance Corporation, Haryana imposing damages for a sum of Rs. 51, 857.40 under Section 85B(1) of the Employees State Insurance Act as contained in Annexure A of the special leave petition.	Facts
The appellantcompany thereafter made an application under Section 75 of the Act and such application was dismissed by an order dated October 11, 1980 passed by the Judge, Employees State Insurance Court, Ballabhgarh.	Facts
After disposal of the said application, F. A. O. No. 7 of 1981 was preferred before the High Court.	Facts
The facts leading to the aforesaid proceedings are to the following effect2.	Facts
The Regional Director proposed to impose damages on account of payment of the dues under the Employees State Insurance Act beyond the timeframe and a notice to that effect was issued to the appellant.	Facts
The appellant made a written representation in response to the notice indicating the reasons for which there had been delay in making such payment.	Facts
Such written representation has been annexed to the special leave petition being Annexure A1.	None
Although an opportunity of personal hearing was afforded by the Regional Director to the appellant, such opportunity was not availed of.	None
The written representation was stated to have been taken into consideration by the Regional Director and the same was dismissed by making the order to the following effectI have applied my mind to all the relevant facts and have gone into the reasons stated by the employer.	Facts
My findings on each of the contentions of the establishment are as underThe reasons advanced are not legally tenable.	Facts
Opportunity of personal hearing afforded on November 22, 1979 has not been availed of.	Facts
Mr. Mehta learned counsel appearing for the appellant has contended before us that although in the written representation various reasons were indicated by the appellant as to why the payment could not be made within the timeframe, such written representation had not been taken into consideration by adverting to the grounds indicated in the representation by the Regional Director who passed the impugned order mechanically holding that the reasons were not legally tenable.	Arguments of Petitioner
He has submitted that the Regional Director being quasijudicial authority was required to dispose of the objection or the representation made by the appellant by applying his mind to the facts and circumstances of the case and by clearly indicating why the objections were not tenable for basing his decision.	Arguments of Petitioner
But unfortunately, no reason was indicated by the Regional Director in support of the conclusion that the reasons were not legally tenable.	Arguments of Petitioner
It is quite apparent from the order of the Regional Director that there was total nonapplication of mind in discharging quasijudicial duties and functions.	None
In this connection, reference was made by the learned counsel to the decision of this Court made in Organo Chemical Industries v. Union of India.	Arguments of Petitioner
In the said decision, power under Section 14B of the Employees Provident Funds Miscellaneous Provisions Act, was taken into consideration.	Arguments of Petitioner
On the question of reasoned order to be made by the adjudicating authority, this Court has referred to an earlier decision of this Court in Siemens case by quoting the observations made therein to the following effect (SCC p. 986, para 6)	None
It is now settled law that where an authority makes an order in exercise of a quasijudicial function, it must record its reasons in support of the order it makes.	None
Every quasi judicial order must be supported by reasons.	None
That has been laid down by a long line of decisions of this Court ending with N. M. Desai v. Testeels Ltd.	None
Mr. Mehta has submitted that unfortunately the High Court having upheld the validity of Section 85B of the Act, in the said reference, summarily dismissed the appeal of the petitioner without considering the merits of the case.	Arguments of Petitioner
Mr. Mehta has contended that even if it is assumed that imposition of damages can also be made in a case where the payment has been made beyond the statutory time, the imposition of damages was required to be quantified by the adjudicating authority after considering the objection or representation made by the employer in the case.	Arguments of Petitioner
