 	Issue
This is a petition under Section 11(6) and Section 14 of the Arbitration and Conciliation Act, 1996 (hereinafter the Act, for short) filed on 11.2.2002.	Issue
The principal relief sought for in the petition is appoint the third and presiding arbitrator to constitute the arbitral tribunal to adjudicate upon the disputes and differences between the parties.	None
Let it be stated at the very outset that a conjoint petition under Section 11(6) and Section 14 of the act would not lie for the simple reason that the petition under Section 11(6) is to be heard and decided by the Chief Justice or any person or institution designated by him while a petition under Section 14 of the Act lies to the Court.	None
With the decision of the Constitution Bench in Konkan Railway Corporation Ltd. Anr.	None
vs. Rani Construction Pvt. Ltd.	None
(2002) 2 SCC 388 , it is settled that the Chief Justice or his designate does not discharge any judicial function under Section 11(6).	None
The Chief Justice or his designate, though a Judge, does no sit as a Court.	None
The two fora, contemplated by Section 11(6) and Section 14(2) are different, and therefore, no single forum can grant such reliefs as are contemplated by the two provisions.	None
The facts in brief.	Facts
The petitioners and the respondents entered into a shareholders agreement dated 31st August 1999 which contains an arbitration clause.	Facts
The relevant clauses of the agreement are as under 28.2 This agreement shall be governed by, and construed in accordance with Indian law and, subject to clauses 28.3 and 28.4, the parties hereby irrevocably submit to the jurisdiction of the appropriate courts in Orissa.28.3 any dispute, question or difference arising between GRIDCO (Petitioner) and the Investors (respondents 1 and 2) in connection with this agreement or otherwise in regard other relationship of the parties pursuant to the terms of this agreement, including the construction and scope of the agreement, shall be first referred to the Chief Executives (by whatever name called) of the Investors and GRIDCO not by way of arbitration but with a view to amicably resolving the issue by discussions and conciliation.28.4 All and any disputes or differences arising out of or in connection with this agreement, which cannot be resolved in accordance with Clause 28.3 or the breach, termination or invalidity of this Agreement shall be submitted to arbitration in accordance with the Arbitration and Conciliation Act, 1996.	Facts
The number or arbitrators shall be three.28.5	Facts
The place of the arbitration shall be Bhubaneswar, Orissa and the language of the arbitral proceedings shall be English.	Facts
Disputes and differences have arisen between the parties referable to the shareholders agreement as arising therefrom.	Facts
On 27.11.2001, the petitioners addressed a fax message to the respondents nominating Shri Kailash Bihari Verma, IAS (Retd.), resident of Bhubaneshwar as an Arbitrator and calling upon the respondents to nominate their Arbitrator for arbitration of the disputes.	Facts
The respondents vide their fax dated 27.12.2001 nominated Mr. Donald F. Donovan, resident of New York as their Arbitrator in the proposed arbitration proceedings.5.	Facts
On 18.1.2002, Mr. Donovan informed the parties that on behalf of Mr. Verma and himself he was acknowledging the respective appointments of the two as arbitrators and that the two were conferring on the appointment of a third Arbitrator.	Facts
The communication stated inter alia We have agreed that the third Arbitrator should be a national of neither India nor the United States.6.	Facts
On 23.1.2002, Mr. Donald Francies Donovan sent a fax message to both the parties which is reproduced hereunder By telecopy and international courierM s Amarchand Mangaldas Suresh A. Shroff Co.13, Abul Fazal Road Bengali MarketNew Delhi110001	None
IndiaCompany SecretaryGrid Corporation of Orissa Ltd.	None
Janpath, Bhubaneswar 751022IndiaGrid Corporation of Orissa Limited v. AES CorporationDear RepresentativesPursuant to our authority under section 11(3) of the Arbitration and Conciliation Act, 1996, Mr. Verma and I hereby appoint David A.R. Williams, Q.C., of New Zealand as the presiding arbitrator in this proceeding.	Facts
Mr. Williams was a litigation partner of the Russell Mc Veagh firm in Auckland until 1987, when he was appointed Queens Counsel.	Facts
He served as a Judge of the High Court of New Zealand from 1991 through 1994.	Facts
He presently maintains chambers in Auckland and London.	Facts
He is, among other positions, a Member of the ICC Court of International Arbitration in Paris and the LCIA Court of Arbitration in London.	Facts
Mr. Williamss contact information is(details Omitted)We are pleased to report that Mr. Williams has advised that he accepts appointment.	Facts
Very truly yours,Donald Francis DonovanCopy David A.R. Williams, Q.C.Mr.	Facts
K.B. Verma, IAS (Retd.)	Facts
According to the petitioners they made enquiries from Shri Verma, the arbitrator, on the morning of 24.1.2002 and learnt that there was no written communication from Mr. Verma agreeing to appoint Mr. David A.R. Williams as the third Arbitrator and the presiding Arbitrator that there were only telephonic conversations between Mr. Verma and Mr. Donald regarding the appointment of the third and presiding Arbitrator that it appears that Mr. Verma was led by Mr. Donald into forming an impression and believing that the appointment of an Indian national as the presiding Arbitrator was not permissible in law and that Mr. Donovan had telephonically communicated to Mr. Verma on the night of 23.1.2002 the consent of Mr. David Williams having agreed to act as the presiding Arbitrator which oral conversation was followed by a letter dated 23.1.2002 but this was without any written communication or confirmation in writing from Mr. Verma regarding his agreement to the appointment of Mr. David Williams as the presiding Arbitrator.8.	Facts
