 	Facts
This group of seven crossappeals arises from three writ petitions filed in the High Court of Judicature for Rajasthan, in which the validity of the Nathdwara Temple Act 1959, (No. XIII of 1959) thereinafter called the Act) has been challenged.	Facts
The principal writ petition was Writ Petition No. 90 of 1959 it was filed by the present Tilkayat Govindlalji (hereinafter called the Tilkayat) on February 28, 1959.	Facts
That petition challenged the validity of the Nathdwara Ordinance 1959 (No. II of 1959) which had been issued on February 6, 1959.	Facts
Subsequently this Ordinance was repealed by the Act which, after receiving the assent of the President, came into force on March 28, 1959.	Facts
Thereafter, the Tilkayat was allowed to amend his petition and after its amendment, the petition challenged the vires of the Act the provisions of which are identical with the provisions of its predecessor Ordinance.	Facts
Along with this petition, Writ Petition No. 310 of 1959 was filed on August 17, 1959 by ten petitioners who purported to act on behalf of the followers of the Pushtimaragiya Vaishnava Sampraday.	Facts
This Petition attacked the validity of the Act on behalf of the Denomination of the followers of Vallabha.	Facts
On November 3, 1960, the third writ Petition (No. 421 of 1960) was filed on behalf of Goswami Shri Ghanshyamlalji who, as a direct descendant of Vallabha, set up an interest in himself in regard to the Nathdwara Temple, and as a person having interest in the said Temple, he challenged the validity of the Act.	Facts
These three petitions were heard together by the High Court and have been dealt with by a common judgment.	Facts
In substance, the High Court has upheld the validity of the Act, but it has struck down as ultra vires a part of the definition of temple in Section 2 (viii) a part of Section 16 which refers to the affairs of the temple Section 28 subsees.	Facts
(2) and (3) Sec. 30 (2) (a) Ss. 36 and 37.	Facts
The petitioners as well as the State of Rajasthan felt aggrieved by this decision and that has given rise to the present crossappeals.	Facts
The Tilkayat has filed Appeal No. 652 of 1962, whereas the State has filed appeals Nos. 653 and 757 of 1960.	Facts
These appeals arise from Writ Petition No. 90 of 1959.	Facts
The Denomination has filed appeal No. 654 of 1962, whereas the State has field Appeals Nos. 655 and 758 of 1962.	Facts
These appeals arise from Writ Petition No. 310 of 1959.	Facts
Ghanshyamlalji whose Writ Petition No. 421 of 1960 has been dismissed by the High Court on the ground that it raises disputed questions of fact which cannot be tried under Article 226 of the Constitution, has preferred Appeal No. 656 of 1962.	Facts
Since Ghanshyamlaljis petition has been dismissed in liming on the ground just indicated, it was unnecessary for the State to prefer any crossappeal.	Facts
