 	Arguments of Respondent
Santosh Hegde, J. This appeal is preferred by accused No. 4 in Criminal Complaint Case No. 2209/S/1997 pending before the Metropolitan Magistrate, 33rd Court at Ballard Pier, Bombay challenging an order made by the High Court of Judicature at Bombay in a revision petition filed by the 2nd respondent herein whereby the High Court allowed the revision petition and set aside the order of discharge made by the trial court.	Issue
The facts necessary for the disposal of this appeal are as follows The 2nd respondent herein lodged a complaint before the Additional Chief Metropolitan Magistrate for offence punishable under Section 138 of the Negotiable Instruments Act against the appellant herein and four others, which included a Company and its Directors.	Facts
It is not disputed that the appellant herein was one of the Directors of the Company.	Facts
The complaint in question was filed in December, 1996 and after following the procedure laid down in Chapter XV and XVI of the Code of Criminal Procedure, 1973, the trial court issued summons to the accused in the complaint.	Facts
On receipt of the complaint, the 1st accused Company challenged the same before the very same Magistrate on the ground that the Magistrate could not have taken cognizance of the offence because of the defective statutory notice.	Facts
Therefore, the Company sought for its discharge.	Facts
The said application came to be rejected.	Facts
Thereafter, the second application for discharge was filed by the Company on the very same ground which was allowed by the Magistrate following the judgment of this Court in the case of K.M. Mathew vs. State of Kerala and another (1992 (1) SCC 217 ) which judgment had held that it was open to the Magistrate taking cognizance and issuing process to recall the said process in the event of the summoned accused showing to the court and that the issuance of process was legally impermissible.	Facts
In this process, the Magistrate came to the conclusion that the statutory notice issued by the complainant was not in conformity with the requirement of law.	Facts
Aggrieved by the said order of discharge made by the learned Magistrate, the complainant challenged the same by way of a revision petition before the learned Sessions Court on the ground that the learned Magistrate had no power to review his earlier order because of the Bar under Section 362 of the Cr.P.C.	Facts
The Sessions Court accepted the contention of the appellant and allowed the revision petition without going into the merits of the legality of the statutory notice.	Facts
The Company thereafter challenged the said order of the learned Sessions Judge by way of a criminal writ petition filed under Article 227 of the Constitution of India before the High Court of Judicature at Bombay.	Facts
The High Court by its order dated 20th December, 2000 rejected the said petition on the ground that once the Magistrate records the plea of the accused and the accused pleads not guilty then the Magistrate is bound to take all such evidence as may be produced in support of the prosecution and there is no provision under the Cr.P.C. enabling the Magistrate to recall the process and discharge the accused after recording the plea of the accused.	Facts
It is to be noted that there is no dispute in regard to the fact that the plea of all the accused was recorded by the Magistrate on 1.11.1999.	Facts
The above said order of the High Court dismissing the criminal writ petition was challenged in a special leave petition bearing No. SLP (Crl.)	Facts
No. 429/2001 by the Company before this Court.	Facts
This Court rejected the SLP summarily on 5.2.2001 by the following order Mr. Gopal Subramanian addressed arguments for some time.	Facts
After noticing the observations made by this Court, he requested for permission to withdraw this SLP without prejudice (to) his contentions (to) be raised at the appropriate stage.	Facts
We therefore, dismiss this SLP as withdrawn.	Facts
After withdrawing the SLP, one would have accepted the accused in the case to cooperate with the trial court in concluding the trial at the earliest but that was not to be.	Facts
The second round of litigation challenging the issuance of process was then initiated by the present appellant herein who is none other than the Executive Director of the accusedCompany which had earlier fought the litigation right up to this Court.	Facts
In the fresh application filed before the learned Magistrate, the appellant in his turn contended that the statutory notice issued was contrary to law, hence, no cognizance could have been taken by the learned Magistrate nor the process could have been issued.	Facts
This application was filed within 10 days after the rejection of the above said SLP by this Court.	Facts
A perusal of the averments made in the application for discharge by the appellant in the second round of litigation shows that the said application was also on the same grounds as was taken by the Company when it filed the application for discharge.	Facts
Surprisingly, this application of the appellant came to be allowed by the Magistrate holding the statutory notice issued prior to filing of the complaint was not in accordance with law and in view of the judgment of this Court in the case of K.M. Mathew vs. State of Kerala and another (1992 (1) SCC 217 )	Facts
it was open to him to recall the order of issuance of process.	Facts
In that process, he allowed the application of the appellant for discharge.	Facts
Being aggrieved by the said order of the learned Magistrate, the complainant filed a criminal revision petition before the High Court of Judicature at Bombay which by the impugned order reiterated its earlier view that it was not open to the Magistrate to order the discharge of an accused once his plea has been recorded and on that basis it allowed the revision petition of the complainant keeping open the question of validity of the statutory notice to be raised at the trial.	Facts
It is against the said order of the High Court, the appellant is before us in this appeal.	Facts
It is to be noted that when this matter came up for preliminary hearing by an order dated 6th September, 2002, this Court observed that the decision rendered in K.M. Mathews case (supra) may require reconsideration, therefore, this appeal was referred to a Bench of 3Judges.	None
At this stage itself, it may be relevant to mention that the correctness of the judgment in K.M. Mathews case (supra) came up for consideration before a 3Judge Bench of this Court in another case of Adalat Prasad vs. Rooplal Jindal and others (2004 (7) Scale 137 ).	None
In the said case of Adalat Prasad (supra), a 3Judge Bench did not agree with the law laid down by this Court in K.M. Mathews case.	Reasoning
Shri Ranjit Kumar, learned senior counsel appearing for the appellant firstly contended that principles laid down by this Court in Adalat Prasads case (supra) may require reconsideration because in Adalat Prasads case this Court proceeded on the basis that the same was a summons case but in reality it was a warrant case covered by Chapter XIX of the Code.	Arguments of Petitioner
He nextly contended that the High Court in this case erred in coming to the conclusion that once the plea of the accused is recorded the Trial Court did have the jurisdiction to entertain an application for discharge in a summons case.	Arguments of Petitioner
He submitted since very foundation of the complaint being based on an illegal statutory notice, the Trial Court could not have taken cognizance of the offence and issued summons and having erroneously done so it had the power to recall the summons and or entertain an application for discharge of an accused person.	Arguments of Petitioner
He also contended the fact that Companys petition for discharge has been rejected right up to this Court did take away appellants right to separately agitate his grievance.	Arguments of Petitioner
Shri Chinmay Khaladhar, learned counsel appearing for the respondent contended that though the case considered by this Court in Adalat Prasads case involved an offence which was triable as a warrant case, this Court actually considered the power of the criminal courts to recall its earlier orders bearing in mind the prohibition contained in Section 362 of the Code.	Arguments of Respondent
