 	Arguments of Respondent
S. Singhvi, J. Feeling dissatisfied with the meagre enhancement granted by the learned Single Judge of the Madhya Pradesh High Court in the amount of compensation determined by II Additional District Judge, Shivpuri (hereinafter described as, the Reference Court)	Issue
, the appellants have filed this appeal.	None
By notification dated 28.5.1987 issued under Section 4(1) of the Land Acquisition Act, 1894 (for short, the Act), which was published on 12.6.1987, the Government of Madhya Pradesh acquired the appellants land measuring 3.627 hectares comprised in Survey Nos.2, 10, 20, 22, 46, 48 and 166 of Village Jagatpur, Tehsil Kolaras, District Shivpuri for construction of Broad Gauge Rail Line by the Central Railway.	Facts
Another parcel of land measuring 0.951 hectares comprised in Survey No.18, of which the appellants were the occupancy tenants, was also acquired by the same notification.	Facts
The possession of the acquired land was taken on 30.11.1987.	Facts
The Land Acquisition Officer passed an award dated 26.8.1989 and held that for the land measuring 3.627 hectares, the appellants are entitled to total compensation of Rs.16,419 with solatium of Rs.4,926 and interest amounting to Rs.985.	Facts
For the land comprised in Survey No.18, no compensation was awarded to the appellants.	Facts
Instead, compensation was paid to respondent Nos.3 and 4, namely, Jagdish Narayan s o Mool Chand and Chandra Mohan s o Ram Dayal, whose names were recorded in the revenue records.3.	Facts
The appellants did not feel satisfied and filed applications under Section 18 of the Act for determination of the amount of compensation by the Court.	Facts
They also filed an application under Section 30 of the Act and pleaded that respondent Nos.3 and 4 are not entitled to receive any compensation.	Facts
Thereupon, the Collector made a reference to District Judge, Shivpuri.	Facts
The latter assigned the cases to the Reference Court.	Facts
The reference applications filed by the appellants were registered as Civil Miscellaneous Case No.3/1991 and 13/1998 respectively and the application filed under Section 30 was registered as Civil Miscellaneous Suit No.12/1998.4.	Facts
In Civil Miscellaneous Case No.3/1991, the appellants prayed for award of compensation at the rate of Rs.5 per square yard.	Facts
They pleaded that the acquired land has good development potential and the Land Acquisition Officer committed serious error by treating the same as agricultural land.	Facts
The appellants also claimed compensation of Rs.18 lacs by alleging that due to laying of railway line, their lands were bifurcated and its value was considerably diminished.	Facts
They further alleged that the authorities of Central Railway had illegally taken possession of their land and the earth was dug out from an area measuring 6 hectares rendering the entire land unfit for cultivation.5.	Facts
The respondents contested the claim petition and pleaded that the Land Acquisition Officer did not commit any illegality by fixing market value of the acquired land by relying upon the sale deeds relating to agricultural lands.6.	Facts
On the pleadings of the parties, the Reference Court framed the following issues Whether compensation determined by the Land Acquisition Officer is insufficient and improper and contrary to the provisions of Section 23 of the Land Acquisition Act?(ii) Whether the petitioners are entitled to higher compensation?	Facts
If yes, to what extent?(iii) Relief and costs.	Facts
In support of the claim, appellant No.1  Himmat Singh examined himself as PW1 and produced a number of documents including sale deeds marked as Exhibits P1 to P12.	Facts
He stated that on the date of acquisition, the land was fully developed for agricultural purposes that there were several Government offices establishments and residential premises near the acquired land.	None
PW1 further stated that there are metalled roads of the PWD on the North and South of the acquired land and that 90 of the Government offices of Kolaras SubDivision are situated at Jagatpur, which was on AgraMumbai National Highway.	None
Still further, PW1 stated that he and his brothers have a farmhouse known as Sant Farm at Jagatpur.	None
In the crossexamination, PW1 admitted that the acquired land does not fall within Kolaras Municipality and that he had never sold his land prior to the disputed acquisition.	None
PW1 denied the suggestion that in the application filed by him, value of the land was shown as Rs.50,000 per hectare.	None
The second witness examined by the appellants, namely, Rajender Kumar Srivastava stated that distance between the Dak Bungalow and the railway station is about one kilometer and AgraBombay Road is at a distance of about one furlong from the Dak Bungalow.	Facts
He also stated that water, electricity and scavenging facilities have been provided by Municipal Committee, Jagatpur.	Facts
In crossexamination, Shri Srivastava admitted that Jagatpur has been divided into two parts, one of which comes under the Municipal Committee and the other is in the village and that the Municipal Committee does not provide any facility to the area falling outside its jurisdiction.	Facts
Another witness examined by the appellants was Damodar Prasad.	Facts
In crossexamination, he admitted that large number of Government offices of Kolaras come under the jurisdiction of the Municipal Committee and that a specific notification had been issued for inclusion of Sant Farm within the jurisdiction of the Municipal Committee.	Facts
Rishabh Chand (PW5) stated that he had sold land measuring 825 sq. ft.	Facts
